,Package,Version,License,Depends,Imports,Suggests,Bioc_Category,Bioc_Version,Bioc_Date
2107,ABarray,1.18.0,GPL,,"Biobase, graphics, grDevices, methods,multtest, stats, tcltk, utils","limma,LPE",Software,2.7,2010-10-18
2108,RBioinf,1.10.0,Artistic-2.0,"graph, methods",,,Software,2.7,2010-10-18
2109,SpeCond,1.4.0,LGPL (>=2),"R (>= 2.10.0),mclust(>= 3.3.1),Biobase(>= 1.15.13),fields,hwriter(>= 1.1),RColorBrewer, methods",,,Software,2.7,2010-10-18
2110,PCpheno,1.12.0,Artistic-2.0,"Category,ScISI(>= 1.3.0),SLGI,ppiStats,ppiData,annotate(>= 1.17.4)","AnnotationDbi,Biobase,Category,GO.db,graph, graphics,GSEABase,KEGG.db, methods,ScISI, stats","KEGG.db,GO.db,org.Sc.sgd.db",Software,2.7,2010-10-18
2111,metahdep,1.8.0,GPL-3,methods,,affyPLM,Software,2.7,2010-10-18
2112,spikeLI,2.10.0,GPL,,"graphics, grDevices, stats, utils",,Software,2.7,2010-10-18
2113,rHVDM,1.16.0,GPL-2,"R (>= 2.3),R2HTML(>= 1.5),affy(>= 1.23.4),minpack.lm(>= 1.0-5),Biobase(>= 2.5.5)",,,Software,2.7,2010-10-18
2114,GeneSelector,2.6.0,GPL (>= 2),"R (>= 2.5.1), methods","Biobase, graphics, grDevices, methods, stats,samr","multtest,siggenes,samr,limma",Software,2.7,2010-10-18
2115,GenomicFeatures,1.2.3,Artistic-2.0,"IRanges(>= 1.7.7),GenomicRanges(>= 0.0.9)","methods,DBI(>= 0.2-5),RSQLite(>= 0.8-1),IRanges,GenomicRanges,Biostrings(>= 2.17.6),rtracklayer(>= 1.7.11),biomaRt,RCurl, utils","rtracklayer,biomaRt,org.Mm.eg.db,GenomicFeatures.Hsapiens.UCSC.hg18,Biostrings,BSgenome,BSgenome.Hsapiens.UCSC.hg18(>= 1.3.14),RUnit",Software,2.7,2010-10-18
2116,flowQ,1.10.0,Artistic-2.0,"R (>= 2.4.0),outliers,lattice,flowViz, methods,mvoutlier,bioDist,parody,RColorBrewer,latticeExtra","geneplotter,flowCore,flowViz",,Software,2.7,2010-10-18
2117,GeneSpring,2.24.0,GPL,"R (>= 2.0.1),Biobase(>= 1.5.0), methods","Biobase, methods, utils",,Software,2.7,2010-10-18
2118,ConsensusClusterPlus,1.2.0,GPL version 2,,"Biobase,ALL, graphics, stats, utils",,Software,2.7,2010-10-18
2119,miRNApath,1.10.0,LGPL-2.1,"methods, R(>= 2.7.0)",,,Software,2.7,2010-10-18
2120,explorase,1.14.0,GPL,R (>= 2.6.2),"limma,rggobi,RGtk2",cairoDevice,Software,2.7,2010-10-18
2121,rGADEM,1.2.0,Artistic-2.0,"R (>= 2.11.0),Biostrings,IRanges,BSgenome, methods,seqLogo","Biostrings,IRanges, methods, graphics,seqLogo",BSgenome.Hsapiens.UCSC.hg18,Software,2.7,2010-10-18
2122,widgetTools,1.28.0,LGPL,"R (>= 2.4.0), methods, utils, tcltk",,Biobase,Software,2.7,2010-10-18
2123,GeneMeta,1.22.0,Artistic-2.0,"R (>= 2.5.0), methods,Biobase(>= 2.5.5),genefilter","methods,Biobase(>= 2.5.5)",,Software,2.7,2010-10-18
2124,genefilter,1.32.0,Artistic-2.0,,"AnnotationDbi,annotate(>= 1.13.7),Biobase(>= 1.99.10), graphics, methods, stats,survival","Biobase(>= 1.99.10),class,hgu95av2.db, methods,tkWidgets,ALL",Software,2.7,2010-10-18
2125,SSPA,1.6.0,GPL (>= 2),"R (>= 2.8), methods,qvalue","graphics,limma, methods, stats","multtest,quadprog, splines",Software,2.7,2010-10-18
2126,AffyCompatible,1.10.0,Artistic-2.0,"R (>= 2.7.0),XML(>= 2.8-1),RCurl(>= 0.8-1), methods",Biostrings,,Software,2.7,2010-10-18
2127,Ringo,1.14.0,Artistic-2.0,"methods,Biobase(>= 1.14.1),RColorBrewer,limma,Matrix, grid","genefilter,limma,vsn","rtracklayer(>= 1.3.1),mclust,topGO(>= 1.15.0)",Software,2.7,2010-10-18
2128,SamSPECTRAL,1.4.1,GPL version 2 or newer,R (>= 2.0.0),methods,,Software,2.7,2010-10-18
2129,MergeMaid,2.22.0,GPL (>= 2),"R (>= 2.2.0),survival,Biobase,MASS, methods",,,Software,2.7,2010-10-18
2130,geneplotter,1.28.0,Artistic-2.0,"Biobase(>= 2.5.5),annotate,lattice","annotate,AnnotationDbi,Biobase(>= 2.5.5), graphics, grDevices, grid, methods,RColorBrewer, stats, utils","Biobase(>= 2.5.5),Rgraphviz,annotate,fibroEset,hgu95av2.db,hu6800.db,hgu133a.db",Software,2.7,2010-10-18
2131,globaltest,5.4.0,GPL (>= 2),methods,"Biobase(>= 2.5.5),survival,AnnotationDbi,annotate,multtest, graphics","vsn,golubEsets,KEGG.db,hu6800.db,Rgraphviz,GO.db,lungExpression,org.Hs.eg.db,annotate,Biobase(>= 2.5.5),survival,GSEABase",Software,2.7,2010-10-18
2132,rbsurv,2.8.0,GPL (>= 2),"R (>= 2.5.0),Biobase(>= 2.5.5),survival",,,Software,2.7,2010-10-18
2133,tkWidgets,1.28.0,Artistic-2.0,"R (>= 2.0.0), methods,widgetTools(>= 1.1.7),DynDoc(>= 1.3.0), tools",,Biobase,Software,2.7,2010-10-18
2134,flowViz,1.14.0,Artistic-2.0,"R (>= 2.7.0),flowCore(>= 1.5.17),lattice","Biobase,flowCore, graphics, grDevices, grid,KernSmooth,lattice,latticeExtra,MASS, methods,RColorBrewer, stats, utils","RColorBrewer,IDPmisc",Software,2.7,2010-10-18
2135,ontoCAT,1.0.0,Apache License,"rJava, methods",,,Software,2.7,2010-10-18
2136,les,1.0.0,GPL-3,"R (>= 2.11.0), methods, graphics,fdrtool","boot,gplots,GSRI(>= 1.1.7),RColorBrewer","Biobase,limma",Software,2.7,2010-10-18
2137,sizepower,1.20.0,LGPL,stats,,,Software,2.7,2010-10-18
2138,panp,1.20.1,GPL (>= 2),"R (>= 2.5.0),affy(>= 1.23.4),Biobase(>= 2.5.5)","Biobase, methods, stats, utils",,Software,2.7,2010-10-18
2139,bgafun,1.12.0,Artistic-2.0,"made4,seqinr,ade4",,,Software,2.7,2010-10-18
2140,LBE,1.18.0,GPL-2,stats,"graphics, grDevices, methods, stats, utils",qvalue,Software,2.7,2010-10-18
2141,rsbml,2.8.0,Artistic-2.0,"R (>= 2.6.0), methods, utils","graph, utils",,Software,2.7,2010-10-18
2142,GEOsubmission,1.2.0,GPL (>= 2),,"affy,Biobase, utils",,Software,2.7,2010-10-18
2143,charm,1.2.1,LGPL (>= 2),"R (>= 2.11.0),Biobase,SQN,fields,RColorBrewer,genefilter","BSgenome,Biobase,oligo(>= 1.11.31), oligoClasses(>= 1.9.42),ff,preprocessCore, methods, stats,Biostrings,IRanges,siggenes,nor1mix,gtools, grDevices, graphics, utils","charmData,BSgenome.Hsapiens.UCSC.hg18",Software,2.7,2010-10-18
2144,RCytoscape,1.0.1,GPL,"R (>= 2.11.0),graph(>= 1.26.0)","methods, XMLRPC",RUnit,Software,2.7,2010-10-18
2145,clusterStab,1.22.0,Artistic-2.0,"Biobase(>= 1.4.22), R (>= 1.9.0), methods",,"fibroEset,genefilter",Software,2.7,2010-10-18
2146,PLPE,1.10.0,GPL (>= 2),"R (>= 2.6.2),Biobase(>= 2.5.5),LPE,MASS, methods",,,Software,2.7,2010-10-18
2147,BioSeqClass,1.8.0,LGPL (>= 2.0),,"Biostrings,ipred,e1071,klaR,randomForest,class,tree,nnet,rpart,party,foreign,Biobase, utils, stats, grDevices",,Software,2.7,2010-10-18
2148,RDRToolbox,1.0.0,GPL (>= 2),"R (>= 2.9.0),rgl","graphics, grDevices, methods, stats,MASS,rgl",golubEsets,Software,2.7,2010-10-18
2149,arrayQualityMetrics,3.2.4,LGPL (>= 2),"affyPLM,vsn","Biobase,RColorBrewer,affy,beadarray,genefilter, grDevices, graphics,hwriter,lattice,latticeExtra,limma,marray, methods,RJSONIO,simpleaffy, stats, stats4, SVGAnnotation (>= 0.7.2), utils,XML","ALLMLL,CCl4",Software,2.7,2010-10-18
2150,GGBase,3.10.0,Artistic-2.0,"R (>= 2.7.0), methods,Biobase(>= 2.9.0), snpMatrix(>= 1.7.6),RSQLite","AnnotationDbi,GSEABase","illuminaHumanv1.db,SNPlocs.Hsapiens.dbSNP.20071016,SNPlocs.Hsapiens.dbSNP.20090506",Software,2.7,2010-10-18
2151,MANOR,1.22.0,GPL,"R (>= 1.8.0),GLAD","GLAD, graphics, grDevices, stats, utils",,Software,2.7,2010-10-18
2152,genomes,1.6.0,Artistic-2.0,lattice,XML,,Software,2.7,2010-10-18
2153,preprocessCore,1.12.0,LGPL (>= 2),methods,stats,,Software,2.7,2010-10-18
2154,ChIPseqR,1.4.0,GPL (>= 2),"R (>= 2.10.0),ShortRead, methods","Biostrings,fBasics,GenomicRanges, graphics, grDevices,HilbertVis,IRanges, methods,ShortRead, stats,timsac, utils",,Software,2.7,2010-10-18
2155,TargetSearch,1.6.0,GPL (>= 2),"R (>= 2.7.0),xcms, methods","graphics, grDevices, methods, stats, tcltk, utils",TargetSearchData,Software,2.7,2010-10-18
2156,DEGseq,1.4.3,LGPL (>=2),"R (>= 2.8.0),qvalue,ShortRead,samr, methods","graphics, grDevices, methods, stats, utils",,Software,2.7,2010-10-18
2157,macat,1.24.0,Artistic-2.0,"Biobase,annotate",,"hgu95av2.db,stjudem",Software,2.7,2010-10-18
2158,GeneSelectMMD,1.6.0,GPL (>= 2),"R (>= 2.8.0),Biobase","Biobase,MASS, graphics, stats,survival",ALL,Software,2.7,2010-10-18
2159,sagenhaft,1.20.0,GPL (>= 2),"R (>= 2.5),SparseM(>= 0.73), methods","graphics, methods,SparseM, stats, utils",,Software,2.7,2010-10-18
2160,HTqPCR,1.4.0,Artistic-2.0,"Biobase,RColorBrewer,limma","affy,Biobase,gplots, graphics, grDevices,limma, methods,RColorBrewer, stats, utils",statmod,Software,2.7,2010-10-18
2161,hyperdraw,1.2.0,GPL (>= 2),"R (>= 2.9.0), methods, grid,graph,hypergraph,Rgraphviz",,,Software,2.7,2010-10-18
2162,GSRI,1.2.0,GPL-3,"R (>= 2.10.0),fdrtool","boot, graphics, stats, utils,genefilter",,Software,2.7,2010-10-18
2163,BufferedMatrix,1.14.0,LGPL (>= 2),"R (>= 2.6.0), methods",,,Software,2.7,2010-10-18
2164,cosmo,1.16.0,file LICENSE,"R (>= 2.4.0), methods, utils,seqLogo",,cosmoGUI,Software,2.7,2010-10-18
2165,BCRANK,1.12.0,GPL-2,methods,Biostrings,seqLogo,Software,2.7,2010-10-18
2166,factDesign,1.26.0,LGPL,Biobase(>= 2.5.5),stats,"affy,genefilter",Software,2.7,2010-10-18
2167,xmapcore,1.4.1,GPL-2,"R (>= 2.8.0), methods,IRanges","DBI,RMySQL(>= 0.6-0),digest",RUnit,Software,2.7,2010-10-18
2168,RdbiPgSQL,1.24.0,GPL,"R (>= 2.6.0),Rdbi",,,Software,2.7,2010-10-18
2169,biocViews,1.18.1,Artistic-2.0,R (>= 2.4.0),"Biobase,graph(>= 1.9.26), methods,RBGL(>= 1.13.5), tools, utils,XML",Biobase,Software,2.7,2010-10-18
2170,PGSEA,1.20.1,GPL-2,"AnnotationDbi, methods,Biobase(>= 2.5.5)",,"GO.db,GSEABase,KEGG.db,GEOquery,org.Hs.eg.db,hgu95av2.db,Ruuid",Software,2.7,2010-10-18
2171,AffyExpress,1.16.0,LGPL,"R (>= 2.5.0),affy(>= 1.23.4),limma",,"simpleaffy,R2HTML,affyPLM,hgu95av2cdf,hgu95av2,test3cdf,genefilter,estrogen,annaffy,gcrma",Software,2.7,2010-10-18
2172,reb,1.26.0,GPL-2,"R (>= 2.0),Biobase,idiogram(>= 1.5.3)",,,Software,2.7,2010-10-18
2173,SPIA,1.8.0,GPL (>= 2),"R (>= 2.8.0), graphics",graphics,"graph,Rgraphviz,KEGGgraph",Software,2.7,2010-10-18
2174,GraphAlignment,1.12.0,file LICENSE,,,,Software,2.7,2010-10-18
2175,ssize,1.24.0,LGPL,"gdata,xtable",,,Software,2.7,2010-10-18
2176,Starr,1.6.0,Artistic-2.0,"Ringo,affy,affxparser","pspline,MASS",,Software,2.7,2010-10-18
2177,cghMCR,1.8.0,LGPL,"methods,DNAcopy,CNTools,limma",,,Software,2.7,2010-10-18
2178,DFP,1.8.0,GPL-2,"methods,Biobase(>= 2.5.5)",,,Software,2.7,2010-10-18
2179,MassSpecWavelet,1.16.0,LGPL (>= 2),waveslim,,"xcms,caTools",Software,2.7,2010-10-18
2180,methVisual,1.2.0,GPL (>= 2),"R (>= 2.11.0), Biostrings(>= 2.4.8),plotrix,gsubfn, grid,sqldf","Biostrings,ca, graphics, grDevices, grid,gridBase,IRanges, stats, utils",,Software,2.7,2010-10-18
2181,affxparser,1.22.1,LGPL (>= 2),R (>= 2.6.0),,"R.utils,AffymetrixDataTestFiles",Software,2.7,2010-10-18
2182,CMA,1.8.1,GPL (>= 2),"R (>= 2.5.1), methods, stats,Biobase",,"MASS,class,nnet,glmnet,e1071,randomForest,plsgenomics,gbm,mgcv,corpcor,limma,st",Software,2.7,2010-10-18
2183,MEDIPS,1.0.0,GPL (>=2),"R (>= 2.12.0),BSgenome","Biostrings,BSgenome, graphics,gtools,IRanges, methods, stats, utils","BSgenome,BSgenome.Hsapiens.UCSC.hg19",Software,2.7,2010-10-18
2184,impute,1.24.0,GPL-2,R (>= 1.7.0),,,Software,2.7,2010-10-18
2185,affy,1.28.1,LGPL (>= 2.0),"R (>= 2.8.0),Biobase(>= 2.5.5)","affyio(>= 1.13.3),Biobase(>= 2.5.5), graphics, grDevices, methods,preprocessCore, stats, utils","tkWidgets(>= 1.19.0),affydata",Software,2.7,2010-10-18
2186,affypdnn,1.24.0,LGPL,"R (>= 2.3.0),affy(>= 1.5)",,"affydata,hgu95av2probe",Software,2.7,2010-10-18
2187,tilingArray,1.28.0,Artistic-2.0,"R (>= 2.11.0),Biobase, methods,pixmap","strucchange,affy,vsn,genefilter,RColorBrewer, grid",,Software,2.7,2010-10-18
2188,metaArray,1.26.0,LGPL-2,,"Biobase,MergeMaid, graphics, stats",,Software,2.7,2010-10-18
2189,GeneticsDesign,1.18.0,GPL,,"gmodels, graphics,gtools(>= 2.4.0),mvtnorm, stats",,Software,2.7,2010-10-18
2190,VanillaICE,1.12.4,LGPL-2,"R (>= 2.10.0),crlmm(>= 1.5.44),IRanges,oligoClasses(>= 1.9.53), methods","SNPchip(>= 1.11.2), stats","genomewidesnp6Crlmm,hapmapsnp6,RColorBrewer,genefilter,RSQLite",Software,2.7,2010-10-18
2191,farms,1.2.0,LGPL (>= 2.1),"R (>= 2.8),affy(>= 1.20.0),MASS, methods","affy,MASS,Biobase(>= 1.13.41), methods, graphics","affydata,Biobase, utils",Software,2.7,2010-10-18
2192,oligo,1.14.0,LGPL (>= 2),"R (>= 2.11.0),oligoClasses(>= 1.9.41)","affyio(>= 1.15.2),affxparser(>= 1.17.3),Biobase(>= 2.7.3),DBI(>= 0.2-4), graphics, methods,preprocessCore(>= 1.9.0), splines, stats, utils","hapmap100kxba,pd.mapping50k.xba240,pd.hg18.60mer.expr,maqcExpression4plex,genefilter,limma,RColorBrewer",Software,2.7,2010-10-18
2193,CoCiteStats,1.22.0,CPL,"R (>= 2.0),org.Hs.eg.db",AnnotationDbi,,Software,2.7,2010-10-18
2194,qvalue,1.24.0,LGPL,,"graphics, grDevices, stats, tcltk",,Software,2.7,2010-10-18
2195,fabia,1.2.0,LGPL (>= 2.1),"R (>= 2.8.0), methods","methods, graphics",utils,Software,2.7,2010-10-18
2196,iSeq,1.0.0,GPL (>= 2),R (>= 2.10.0),,,Software,2.7,2010-10-18
2197,flowCore,1.16.0,Artistic-2.0,"R (>= 2.8.1),Biobase,rrcov","Biobase,feature,graph, graphics, grDevices,MASS, methods,rrcov, stats, utils","Rgraphviz,flowViz,ncdf",Software,2.7,2010-10-18
2198,BGmix,1.10.0,GPL,"R (>= 2.3.1),KernSmooth",,,Software,2.7,2010-10-18
2199,biocDatasets,1.6.0,GPL-3,"R (>= 2.8.0),IRanges","stats,Biostrings,IRanges",Biobase,Software,2.7,2010-10-18
2200,CAMERA,1.6.0,GPL (>= 2),"R (>= 2.1.0), methods,xcms(>= 1.13.5)","methods,xcms,RBGL,graph, graphics, grDevices, stats, utils,Hmisc",faahKO,Software,2.7,2010-10-18
2201,Heatplus,1.20.0,GPL (>= 2),,"graphics, grDevices, stats",,Software,2.7,2010-10-18
2202,DESeq,1.2.1,GPL (>= 3),"Biobase,locfit","genefilter,geneplotter, methods",,Software,2.7,2010-10-18
2203,LVSmiRNA,1.0.0,GPL2,"Biobase,quantreg, splines,MASS,limma,affy, methods,SparseM,vsn",,,Software,2.7,2010-10-18
2204,CSAR,1.2.0,Artistic-2.0,R(>= 2.6.0),"stats, utils","ShortRead,Biostrings",Software,2.7,2010-10-18
2205,daMA,1.22.0,GPL (>= 2),,"MASS, stats",,Software,2.7,2010-10-18
2206,GOSemSim,1.8.3,GPL-2,"AnnotationDbi,GO.db,org.Hs.eg.db",,"org.Ag.eg.db,org.At.tair.db,org.Bt.eg.db,org.Ce.eg.db,org.Cf.eg.db,org.Dm.eg.db,org.Dr.eg.db,org.EcK12.eg.db,org.EcSakai.eg.db,org.Gg.eg.db,org.Mm.eg.db,org.Mmu.eg.db,org.Pf.plasmo.db,org.Pt.eg.db,org.Rn.eg.db,org.Sc.sgd.db,org.Sco.eg.db,org.Ss.eg.db,org.Xl.eg.db",Software,2.7,2010-10-18
2207,GEOmetadb,1.10.0,Artistic-2.0,"GEOquery,RSQLite",,,Software,2.7,2010-10-18
2208,SAGx,1.24.0,LGPL,"R (>= 2.5.0), stats,multtest, methods",Biobase,"KEGG.db,hu6800.db",Software,2.7,2010-10-18
2209,flagme,1.6.0,LGPL (>= 2),gcspikelite,"gplots, graphics,MASS, methods,SparseM, stats, utils,xcms",,Software,2.7,2010-10-18
2210,hexbin,1.24.1,GPL-2,"R (>= 2.0.1), methods, grid,lattice","methods, grid,lattice, graphics, grDevices, stats, utils","marray,affy,Biobase",Software,2.7,2010-10-18
2211,MiPP,1.22.0,GPL (>= 2),R (>= 2.4),"Biobase,e1071,MASS, stats",,Software,2.7,2010-10-18
2212,Resourcerer,1.24.0,LGPL,"R (>= 1.9.0),Biobase,AnnotationDbi(>= 1.4.0)",,"human.db0,mouse.db0,rat.db0",Software,2.7,2010-10-18
2213,MLInterfaces,1.30.0,LGPL,"R (>= 2.9),Biobase,MASS, methods,genefilter,rpart,rda,annotate,cluster",mboost,"class,e1071,ipred,randomForest,gpls,pamr,rpart,MASS,nnet,ALL,gbm,mlbench,hgu95av2.db,som,RColorBrewer,hu6800.db,golubEsets,ada,keggorthology,kernlab,gbm,mboost,sfsmisc,party",Software,2.7,2010-10-18
2214,IRanges,1.8.9,Artistic-2.0,"R (>= 2.8.0), methods, utils, stats","methods, utils, stats",RUnit,Software,2.7,2010-10-18
2215,genoCN,1.2.0,GPL (>=2),,"graphics, stats, utils",,Software,2.7,2010-10-18
2216,marray,1.28.0,LGPL,"R (>= 1.9.0),limma, methods",,tkWidgets,Software,2.7,2010-10-18
2217,CRImage,1.0.0,Artistic-2.0,EBImage,"MASS,e1071,foreach",,Software,2.7,2010-10-18
2218,ppiStats,1.16.0,Artistic-2.0,"ScISI(>= 1.13.2),lattice,ppiData(>= 0.1.6)","Biobase,Category,graph, graphics, grDevices,lattice, methods,RColorBrewer, stats","yeastExpData,xtable",Software,2.7,2010-10-18
2219,MEDME,1.10.0,GPL (>= 2),"grDevices, graphics, methods, stats, utils","Biostrings,MASS,drc","BSgenome.Hsapiens.UCSC.hg18,BSgenome.Mmusculus.UCSC.mm9",Software,2.7,2010-10-18
2220,PAnnBuilder,1.14.0,LGPL (>= 2.0),"R (>= 2.7.0), methods, utils,RSQLite,Biobase(>= 1.17.0),AnnotationDbi(>= 1.3.12)","methods, utils,Biobase,DBI,RSQLite,AnnotationDbi",org.Hs.ipi.db,Software,2.7,2010-10-18
2221,MCRestimate,2.6.0,GPL (>= 2),"R (>= 2.7.2),golubEsets(>= 1.4.6)","e1071(>= 1.5-12),pamr(>= 1.22),randomForest(>= 3.9-6),RColorBrewer(>= 0.1-3),Biobase(>= 2.5.5), graphics, grDevices, stats, utils","xtable(>= 1.2-1),ROC(>= 1.8.0),genefilter(>= 1.12.0),gpls(>= 1.6.0)",Software,2.7,2010-10-18
2222,CGHbase,1.8.0,GPL,"R (>= 2.4.0), methods,Biobase(>= 2.5.5),marray",,,Software,2.7,2010-10-18
2223,GlobalAncova,3.18.0,GPL (>= 2),"methods,corpcor,globaltest","annotate,AnnotationDbi","Biobase,annotate,GO.db,KEGG.db,golubEsets,hu6800.db,vsn,GSEABase",Software,2.7,2010-10-18
2224,ecolitk,1.22.0,GPL (>= 2),R (>= 2.5),"Biobase, graphics, methods","ecoliLeucine,ecolicdf,graph,multtest",Software,2.7,2010-10-18
2225,GLAD,2.12.0,GPL,R (>= 2.5.0),,"aws, tcltk",Software,2.7,2010-10-18
2226,pgUtils,1.22.0,LGPL (>= 2),"R (>= 1.8.0), methods","methods,Rdbi(>= 1.0.2),RdbiPgSQL(>= 1.0.2)",,Software,2.7,2010-10-18
2227,gaga,1.10.0,GPL (>= 2),"R (>= 2.5.0),Biobase,coda",,,Software,2.7,2010-10-18
2228,minet,3.4.0,file LICENSE,infotheo,,,Software,2.7,2010-10-18
2229,qpcrNorm,1.8.0,LGPL (>= 2),"methods,Biobase,limma,affy",,,Software,2.7,2010-10-18
2230,hypergraph,1.22.0,Artistic-2.0,"R (>= 2.1.0), methods,graph",,,Software,2.7,2010-10-18
2231,ACME,2.6.0,GPL (>= 2),"Biobase(>= 2.5.5), methods","graphics, stats",,Software,2.7,2010-10-18
2232,ADaCGH2,1.0.0,GPL (>= 3),"R (>= 2.11.0),tilingArray,aCGH,waveslim,cluster,snapCGH,snowfall,ff",,"GLAD,DNAcopy,CGHregions,rlecuyer",Software,2.7,2010-10-18
2233,RbcBook1,1.18.1,Artistic-2.0,"Biobase,graph",,,Software,2.7,2010-10-18
2234,SNPchip,1.14.0,LGPL (>= 2),"R (>= 2.10.0),Biobase(>= 2.7.4), methods,oligoClasses(>= 1.9.52), graphics","Biobase(>= 2.7.4), graphics, grDevices, methods,oligoClasses(>= 1.9.52), stats, utils","RSQLite,VanillaICE,RColorBrewer,genefilter,pd.mapping50k.xba240",Software,2.7,2010-10-18
2235,XDE,1.10.0,LGPL-2,"R (>= 2.9.0),Biobase(>= 2.5.5), methods, graphics","Biobase,genefilter, graphics, grDevices,gtools,MergeMaid, methods, stats, utils","siggenes,genefilter,MASS,RColorBrewer,GeneMeta",Software,2.7,2010-10-18
2236,webbioc,1.22.0,GPL (>= 2),"R (>= 1.8.0),Biobase,affy,multtest,annaffy,vsn,gcrma,qvalue","Biobase,multtest,qvalue, stats, utils",,Software,2.7,2010-10-18
2237,CGHcall,2.10.0,GPL (http://www.gnu.org/copyleft/gpl.html),"R (>= 2.0.0), impute(>= 1.8.0),DNAcopy(>= 1.6.0), methods,Biobase,CGHbase",,,Software,2.7,2010-10-18
2238,crlmm,1.8.11,Artistic-2.0,"R (>= 2.11.0), methods,Biobase(>= 2.9.0),oligoClasses(>= 1.11.7)","affyio(>= 1.15.2),ellipse,ff,genefilter,mvtnorm,preprocessCore, splines, stats,SNPchip, utils","hapmapsnp6,genomewidesnp6Crlmm(>= 1.0.2),snpMatrix,ellipse",Software,2.7,2010-10-18
2239,Rtreemix,1.12.0,LGPL,"R (>= 2.5.0), methods,graph,Biobase","methods,graph,Biobase,Hmisc",Rgraphviz,Software,2.7,2010-10-18
2240,pcot2,1.18.0,GPL (>= 2),"R (>= 2.0.0), grDevices,Biobase,amap",,"multtest,hu6800.db,KEGG.db,mvtnorm",Software,2.7,2010-10-18
2241,beadarraySNP,1.16.0,GPL-2,"methods,Biobase(>= 2.5.5),quantsmooth",,"aCGH,affy,limma,snapCGH,beadarray,DNAcopy",Software,2.7,2010-10-18
2242,maDB,1.22.0,LGPL (>= 2),"R (>= 2.6.0),Biobase(>= 2.5.5),affy(>= 1.23.4),pgUtils(>= 1.5.0),limma(>= 1.8.0), methods",,"annaffy(>= 1.6.2),biomaRt(>= 1.8.2),geneplotter",Software,2.7,2010-10-18
2243,xmapbridge,1.8.1,LGPL-3,"R (>= 2.0), methods",,,Software,2.7,2010-10-18
2244,RpsiXML,1.10.0,LGPL-3,"methods,annotate(>= 1.21.0),graph(>= 1.21.0),Biobase,RBGL(>= 1.17.0),XML(>= 2.4.0),hypergraph(>= 1.15.2),AnnotationDbi",,"org.Hs.eg.db,org.Mm.eg.db,org.Dm.eg.db,org.Rn.eg.db,org.Sc.sgd.db,hom.Hs.inp.db,hom.Mm.inp.db,hom.Dm.inp.db,hom.Rn.inp.db,hom.Sc.inp.db,Rgraphviz,ppiStats",Software,2.7,2010-10-18
2245,arrayMvout,1.8.0,Artistic-2.0,"R (>= 2.6.0), tools, methods, utils,parody,Biobase,affy,lumi","simpleaffy,mdqc,affyContam","MAQCsubset,mvoutData,lumiBarnes,affyPLM,affydata,hgu133atagcdf",Software,2.7,2010-10-18
2246,gage,2.0.0,GPL (>=2.0),"graph,multtest",,"gageData,GO.db,GSEABase,KEGG.db,org.Hs.eg.db",Software,2.7,2010-10-18
2247,CORREP,1.16.0,GPL (>= 2),,"e1071, stats",cluster,Software,2.7,2010-10-18
2248,GSEABase,1.12.2,Artistic-2.0,"R (>= 2.6.0),Biobase,annotate, methods,graph","annotate,AnnotationDbi,Biobase,graph, methods,XML","hgu95av2.db,GO.db,org.Hs.eg.db",Software,2.7,2010-10-18
2249,pdmclass,1.22.0,Artistic-2.0,"Biobase(>= 1.4.22), R (>= 1.9.0),fibroEset,mda",,,Software,2.7,2010-10-18
2250,cosmoGUI,1.16.0,LGPL (>= 2),"tkWidgets,cosmo",,,Software,2.7,2010-10-18
2251,ArrayTools,1.10.0,LGPL (>= 2.0),"R (>= 2.7.0),affy(>= 1.23.4),Biobase(>= 2.5.5), methods","affy,Biobase, graphics, grDevices,limma, methods, stats, utils,xtable","simpleaffy,R2HTML,affydata,affyPLM,genefilter,annaffy,gcrma,hugene10sttranscriptcluster.db",Software,2.7,2010-10-18
2252,MVCClass,1.24.0,LGPL,"R (>= 2.1.0), methods",,,Software,2.7,2010-10-18
2253,Rolexa,1.6.0,GPL-2,"R (>= 2.9.0),mclust, graphics, grDevices, methods,ShortRead","Biostrings, graphics, grDevices,IRanges, methods,ShortRead, stats",,Software,2.7,2010-10-18
2254,Rdisop,1.10.0,GPL,R (>= 2.0.0),,,Software,2.7,2010-10-18
2255,RTools4TB,1.6.0,LGPL,"R (>= 2.5.1),Biobase,limma, methods",,"RColorBrewer,biocGraph,ALL",Software,2.7,2010-10-18
2256,ShortRead,1.8.2,Artistic-2.0,"methods,IRanges(>= 1.7.23),GenomicRanges,Biostrings(>= 2.13.52),lattice,Rsamtools","IRanges,GenomicRanges,Biostrings,Biobase,hwriter,Rsamtools","biomaRt,RUnit",Software,2.7,2010-10-18
2257,mBPCR,1.4.0,GPL (>= 2),"oligoClasses,SNPchip",Biobase,xtable,Software,2.7,2010-10-18
2258,KCsmart,2.8.0,GPL-3,"methods,siggenes,multtest",,,Software,2.7,2010-10-18
2259,qpgraph,1.6.2,GPL (>= 2),methods,"methods,annotate,Matrix,graph,Biobase,AnnotationDbi","Matrix,mvtnorm,graph,genefilter,Category,org.EcK12.eg.db,GOstats",Software,2.7,2010-10-18
2260,biomaRt,2.6.0,Artistic-2.0,methods,"XML,RCurl",annotate,Software,2.7,2010-10-18
