"Package","Version","CRANRelease","SnapshotFirstDate","SnapshotLastDate","Depends","Imports","License","Suggests"
"VSURF","0.8","2013-12-18 17:54:23","2013-12-21","2014-02-07","randomForest, rpart, doParallel",,"GPL (>= 2)",
"VSURF","0.8.1","2014-02-05 10:14:30","2014-02-08","2014-05-16","randomForest, rpart, doParallel",,"GPL (>= 2)",
"VSURF","0.8.2","2014-05-12 16:19:29","2014-05-17","2015-04-20","randomForest, rpart, doParallel",,"GPL (>= 2)",
"VaRES","1.0","2013-08-27 08:08:04","2013-09-03","2015-04-20","R (>= 2.15.0)",,"GPL (>= 2)",
"VarEff","1.0","2012-04-18 11:20:51","2013-09-03","2015-03-04","mcmc, graphics, grDevices",,"GPL (>= 2)",
"VarSelLCM","1.0","2015-03-19 23:47:42","2015-03-21","2015-04-20",,"methods, Rcpp (>= 0.11.1), parallel, mclust","GPL (>= 2)",
"VarSwapPrice","1.0","2012-03-15 19:43:59","2013-09-03","2015-04-20",,,"GPL-3",
"VariABEL","0.9-0","2011-12-07 16:03:44","2013-09-03","2013-11-08","R (>= 2.13.0)",,"GPL (>= 2)","GenABEL, DatABEL"
"VariABEL","0.9-1","2013-11-07 13:23:59","2013-11-09","2014-01-31","R (>= 2.13.0)",,"GPL (>= 2)","GenABEL, DatABEL"
"VariABEL","0.9-2","2014-01-30 12:43:53","2014-02-01","2015-04-20","R (>= 2.13.0)",,"GPL (>= 2)","GenABEL, DatABEL"
"VarianceGamma","0.3-1","2015-01-05 18:03:19","2013-09-03","2015-04-20","R (>= 2.3.0), DistributionUtils, GeneralizedHyperbolic, RUnit",,"GPL (>= 2)",
"VdgRsm","1.01","2014-03-06 10:05:04","2014-03-08","2014-10-13","R (>= 3.0.2), DoE.wrapper, AlgDesign","permute","GPL-2",
"VdgRsm","1.02","2014-10-12 02:00:22","2014-10-14","2014-12-01","R (>= 3.1.1)","permute, AlgDesign","GPL-2",
"VdgRsm","1.3","2014-11-29 16:16:59","2014-12-02","2015-02-02","R (>= 3.1.1)","permute, AlgDesign","GPL-2",
"VdgRsm","1.4","2015-02-01 09:04:56","2015-02-03","2015-04-01","R (>= 3.1.2)","permute, AlgDesign","GPL (>= 2)","akima"
"VdgRsm","1.5","2015-03-30 07:36:29","2015-04-02","2015-04-20","R (>= 3.1.2)","permute, AlgDesign","GPL (>= 2)","akima"
"Vdgraph","2.1-3","2013-01-29 23:11:39","2013-09-03","2014-08-18",,,"GPL-2",
"Vdgraph","2.2-1","2014-08-15 07:15:42","2014-08-19","2014-12-15",,,"GPL-2",
"Vdgraph","2.2-2","2014-12-13 00:05:41","2014-12-16","2015-04-20",,,"GPL-2",
"VecStatGraphs2D","1.6","2012-11-10 08:36:40","2013-09-03","2014-02-07","R (>= 2.10.1), MASS",,"GPL-3",
"VecStatGraphs2D","1.7","2014-02-06 01:28:54","2014-02-08","2015-04-20","R (>= 2.10.1), MASS",,"GPL-3",
"VecStatGraphs3D","1.5","2013-03-01 07:53:13","2013-09-03","2014-10-08","R (>= 2.10.1), rgl, misc3d, tcltk, MASS",,"GPL-3",
"VecStatGraphs3D","1.6","2014-10-07 09:38:49","2014-10-09","2015-04-20","R (>= 2.10.1), rgl, misc3d, tcltk, MASS",,"GPL-3",
"VennDiagram","1.6.5","2013-08-21 10:17:37","2013-09-03","2014-07-04","R (>= 2.14.1), grid (>= 2.14.1)",,"GPL-2",
"VennDiagram","1.6.7","2014-07-03 09:10:54","2014-07-05","2014-09-15","R (>= 2.14.1), grid (>= 2.14.1)",,"GPL-2",
"VennDiagram","1.6.8","2014-09-11 21:02:30","2014-09-16","2014-09-26","R (>= 2.14.1), grid (>= 2.14.1)",,"GPL-2",
"VennDiagram","1.6.9","2014-09-24 23:18:43","2014-09-27","2015-04-20","R (>= 2.14.1), grid (>= 2.14.1)",,"GPL-2",
"VideoComparison","0.11","2014-07-09 11:14:19","2014-07-12","2015-04-20","R (>= 2.15.2), RJSONIO, RCurl, zoo, stats, pracma, Rcpp (>= 0.10.3)",,"GPL (>= 2)","MASS"
"VideoComparison","0.9-4","2013-12-10 13:41:46","2013-12-12","2014-07-11","R (>= 2.15.2), RJSONIO, RCurl, zoo, stats, pracma, Rcpp (>= 0.10.3)",,"GPL (>= 2)","MASS"
"VineCopula","1.1-2","2013-08-26 15:43:59","2013-09-03","2013-11-13","R (>= 2.11.0), MASS, mvtnorm, igraph",,"GPL (>= 2)","CDVine, TSP"
"VineCopula","1.2","2013-11-11 14:03:09","2013-11-14","2014-04-23","R (>= 2.11.0), MASS, mvtnorm, igraph",,"GPL (>= 2)","CDVine, TSP, ADGofTest"
"VineCopula","1.3","2014-04-22 22:20:26","2014-04-24","2015-01-30","R (>= 2.11.0)","MASS, mvtnorm, igraph, methods, copula","GPL (>= 2)","CDVine, TSP, ADGofTest"
"VineCopula","1.4","2015-01-28 11:31:23","2015-01-31","2015-04-20","R (>= 2.11.0)","MASS, mvtnorm, igraph, methods, copula, ADGofTest","GPL (>= 2)","CDVine, TSP"
"VisCov","1.3","2012-07-27 17:08:03","2013-09-03","2013-12-23","R (>= 2.12.0), bayesm, MASS, clusterGeneration, TeachingDemos, scatterplot3d, KernSmooth",,"file LICENSE",
"VisuClust","1.1","2013-03-10 16:58:53","2013-09-03","2014-12-08","aplpack",,"LGPL (>= 3)","MASS, cluster"
"VizCompX","0.1","2012-10-29 08:58:07","2013-09-03","2013-12-23","R (>= 2.10.1), lattice, emulator, mlegp",,"GPL-2",
"VizOR","0.7-9","2013-11-15 00:41:24","2013-11-16","2015-04-20","lattice, grid,","rms","GPL (>= 2)","rpanel"
"Voss","0.1-4","2012-06-04 08:14:32","2013-09-03","2015-04-20","R (>= 2.14.0), fields",,"GPL-3",
"VoxR","0.5.1","2014-01-29 19:30:04","2014-02-01","2015-04-20","R (>= 2.10)",,"GPL (>= 2.0)","rgl, raster, sp"
"W2CWM2C","1.0","2012-11-24 09:31:42","2013-09-03","2015-04-20","R (>= 2.10.0), waveslim, wavemulcor",,"GPL (>= 2)",
"W3CMarkupValidator","0.1-0","2014-08-04 18:02:18","2014-08-07","2014-08-18",,"XML, RCurl","GPL-2",
"W3CMarkupValidator","0.1-1","2014-08-17 13:45:01","2014-08-19","2015-04-20",,"XML, RCurl","GPL-2",
"WARN","1.0","2013-04-12 14:36:05","2013-09-03","2014-11-05","MASS",,"GPL (>= 3)",
"WARN","1.1","2014-11-05 01:06:34","2014-11-06","2015-04-20","MASS",,"GPL (>= 3)",
"WCE","1.0","2015-01-14 01:59:07","2015-01-15","2015-04-20","R (>= 2.10)","plyr, survival, splines","GPL (>= 2)","R.rsp"
"WCQ","0.2","2012-09-14 16:52:57","2013-09-03","2015-04-20",,,"GPL-3",
"WDI","2.4","2013-08-20 23:43:01","2013-09-03","2015-04-20","RJSONIO",,"GPL-3",
"WGCNA","1.27-1","2013-04-02 07:29:29","2013-09-03","2013-10-16","R (>= 2.14), stats, impute, grDevices, dynamicTreeCut (>= 1.20), utils, flashClust, Hmisc, splines, cluster, reshape, MASS, foreach, doParallel",,"GPL (>= 2)","GO.db, org.Hs.eg.db, org.Mm.eg.db, AnnotationDbi, infotheo, entropy, minet, survival"
"WGCNA","1.34","2013-10-10 20:23:07","2013-10-17","2014-06-16","R (>= 2.14), dynamicTreeCut (>= 1.60), flashClust, Hmisc","stats, impute, grDevices, utils, splines, reshape, foreach, doParallel, matrixStats (>= 0.8.1)","GPL (>= 2)","GO.db, org.Hs.eg.db, org.Mm.eg.db, AnnotationDbi, infotheo, entropy, minet, survival"
"WGCNA","1.41-1","2014-06-14 07:29:51","2014-06-17","2014-12-05","R (>= 2.14), dynamicTreeCut (>= 1.62), flashClust","stats, grDevices, utils, matrixStats (>= 0.8.1), Hmisc, impute, splines, foreach, doParallel, reshape","GPL (>= 2)","GO.db, org.Hs.eg.db, org.Mm.eg.db, AnnotationDbi, infotheo, entropy, minet, survival"
"WGCNA","1.42","2014-12-04 20:57:06","2014-12-06","2015-01-16","R (>= 2.14), dynamicTreeCut (>= 1.62), fastcluster","stats, grDevices, utils, matrixStats (>= 0.8.1), Hmisc, impute, splines, foreach, doParallel, reshape, preprocessCore, survival, parallel","GPL (>= 2)","GO.db, org.Hs.eg.db, org.Mm.eg.db, AnnotationDbi, infotheo, entropy, minet"
"WGCNA","1.43","2015-01-15 21:06:20","2015-01-17","2015-03-30","R (>= 2.14), dynamicTreeCut (>= 1.62), fastcluster","stats, grDevices, utils, matrixStats (>= 0.8.1), Hmisc, impute, splines, foreach, doParallel, reshape, preprocessCore, survival, parallel, GO.db, AnnotationDbi","GPL (>= 2)","org.Hs.eg.db, org.Mm.eg.db, infotheo, entropy, minet"
"WGCNA","1.46","2015-03-28 08:42:41","2015-03-31","2015-04-20","R (>= 3.0), dynamicTreeCut (>= 1.62), fastcluster","stats, grDevices, utils, matrixStats (>= 0.8.1), Hmisc, impute, splines, foreach, doParallel, reshape, preprocessCore, survival, parallel, GO.db, AnnotationDbi","GPL (>= 2)","org.Hs.eg.db, org.Mm.eg.db, infotheo, entropy, minet"
"WMCapacity","0.9.6.6","2011-11-24 10:13:10","2013-09-03","2015-04-20","R (>= 2.10), gtools, gWidgets, gWidgetsRGtk2, coda, cairoDevice","RGtk2, grDevices, XML","GPL-2",
"WMDB","1.0","2012-07-06 17:58:01","2013-09-03","2015-04-20",,,"GPL (>= 2)",
"WMTregions","3.2.6","2013-11-29 12:59:17","2013-09-03","2014-04-21","rgl",,"GPL-2","RGtk2, rggobi"
"WRS2","0.1-0","2014-10-03 14:23:51","2014-10-07","2014-11-03","R (>= 3.0.0)","MASS","GPL-2",
"WRS2","0.2-0","2014-10-24 07:49:06","2014-11-04","2014-12-05","R (>= 3.0.0)","MASS, reshape","GPL-2",
"WRS2","0.3-1","2014-12-03 15:53:19","2014-12-06","2015-04-20","R (>= 3.0.0)","MASS, reshape, plyr","GPL-2",
"WWGbook","1.0.1","2012-03-28 23:42:23","2013-09-03","2015-04-20","R (>= 1.4.1)",,"GPL (>= 2)",
"Watersheds","1.0","2014-11-05 20:25:45","2014-11-10","2015-04-20","R (>= 2.10), methods, sp, maptools, rgeos, lattice, splancs",,"GPL (>= 2)",
"Wats","0.2-16","2014-05-21 21:21:54","2014-05-24","2015-04-20","R (>= 3.0.0), stats","colorspace, ggplot2, grid, lubridate, plyr, RColorBrewer, testit, zoo","MIT + file LICENSE","BayesSingleSub, boot, devtools, knitr, scales, testthat"
"Wats","0.2-9","2013-12-30 18:10:35","2014-01-02","2014-05-23","R (>= 3.0.0), stats","boot, colorspace, ggplot2, grid, lubridate, plyr, RColorBrewer, scales, testit, zoo","GPL (>= 2)","BayesSingleSub, devtools, knitr, testthat"
"WaveCD","1.0","2012-10-29 08:58:08","2013-09-03","2015-04-20","R (>= 2.0.0), waveslim, lattice",,"GPL (>= 2)",
"WaveletComp","1.0","2014-12-16 09:26:25","2014-12-18","2015-04-20","R (>= 2.10)",,"GPL-2",
"WebDevelopR","1.0","2013-04-09 17:29:50","2013-09-03","2014-11-03","utils",,"GPL (>= 2)",
"WeightedCluster","1.0","2013-03-01 17:46:44","2013-09-03","2013-12-23","R (>= 2.8.1), TraMineR, cluster",,"GPL (>= 2)","RUnit, knitr, isotone, vegan"
"WeightedCluster","1.0.1","2013-12-21 08:51:48","2013-12-24","2014-01-17","R (>= 2.8.1), TraMineR, cluster","RColorBrewer, boot","GPL (>= 2)","RUnit, knitr, isotone, vegan"
"WeightedCluster","1.2","2014-01-19 14:22:57","2014-01-18","2015-04-20","R (>= 3.0.0), TraMineR(>= 1.8-8), cluster","utils, RColorBrewer","GPL (>= 2)","RUnit, knitr, isotone, vegan, lattice"
"WeightedPortTest","1.0","2012-05-24 08:24:14","2013-09-03","2015-04-20",,,"GPL (>= 3)",
"WhatIf","1.5-5","2009-03-08 16:10:18","2013-09-03","2014-01-09","R (>= 2.3.1), lpSolve",,"GPL (>= 2)",
"WhatIf","1.5-6","2014-01-08 23:38:08","2014-01-10","2015-04-20","R (>= 2.3.1), lpSolve",,"GPL (>= 2)",
"WhiteStripe","1.0","2014-11-04 22:31:44","2014-11-06","2015-04-20","R (>= 2.10)","oro.nifti, mgcv, fslr","GPL-2",
"WhopGenome","0.9.1","2015-02-19 22:34:20","2015-02-21","2015-02-23","R (>= 1.8.0)",,"GPL (>= 2)","RMySQL, DBI, AnnotationDbi"
"WhopGenome","0.9.2","2015-02-20 10:26:41","2015-02-24","2015-04-20","R (>= 1.8.0)",,"GPL (>= 2)","RMySQL, DBI, AnnotationDbi"
"WideLM","0.1-1","2012-02-17 08:38:40","2013-09-03","2015-04-20","Rcpp",,"GPL (>= 2)",
"WikipediR","0.5","2014-04-18 00:38:16","2014-04-19","2014-04-28","httr, jsonlite, methods",,"MIT + file LICENSE",
"WikipediR","1.0.0","2014-04-27 08:27:54","2014-04-29","2014-08-18","httr, jsonlite, methods",,"MIT + file LICENSE",
"WikipediR","1.0.1","2014-08-17 08:19:13","2014-08-19","2014-12-08","httr, jsonlite, methods",,"MIT + file LICENSE","XML"
"WikipediR","1.1.0","2014-12-06 11:17:43","2014-12-09","2015-04-20","httr, jsonlite",,"MIT + file LICENSE","XML, testthat"
"WilcoxCV","1.0-2","2012-10-29 08:58:09","2013-09-03","2015-04-20","R (>= 2.0.0)",,"GPL (>= 2)",""
"WordPools","1.0-2","2012-12-16 16:59:55","2013-09-03","2015-04-20","R (>= 2.10)",,"GPL-2",""
"WrightMap","1.0","2014-03-04 01:17:58","2014-03-06","2014-04-02",,,"BSD_2_clause + file LICENSE",
"WrightMap","1.1","2014-03-31 08:19:37","2014-04-03","2015-04-20","R (>= 3.0.0)",,"BSD_2_clause + file LICENSE",
"WriteXLS","3.2.1","2013-08-08 18:40:48","2013-09-03","2013-11-13",,,"GPL-2",
"WriteXLS","3.2.2","2013-11-12 14:30:41","2013-11-14","2014-01-24",,,"GPL-2",
"WriteXLS","3.3.1","2014-01-21 17:48:41","2014-01-25","2014-02-14",,,"GPL-2",
"WriteXLS","3.4.0","2014-02-12 19:56:58","2014-02-15","2014-03-19",,,"GPL-2",
"WriteXLS","3.5.0","2014-03-18 21:18:27","2014-03-20","2014-10-03",,,"GPL-2",
"WriteXLS","3.5.1","2014-10-02 19:46:58","2014-10-04","2015-04-20",,,"GPL-2",
"XBRL","0.99.10","2013-12-31 16:17:51","2014-01-02","2014-03-03","Rcpp (>= 0.10.4)",,"GPL (>= 2)",
"XBRL","0.99.11","2014-03-01 21:28:22","2014-03-04","2014-08-13",,"Rcpp (>= 0.10.4)","GPL (>= 2)",
"XBRL","0.99.12","2014-08-11 18:56:55","2014-08-14","2014-11-19",,"Rcpp (>= 0.10.4)","GPL (>= 2)",
"XBRL","0.99.13","2014-11-18 15:25:34","2014-11-20","2015-01-09",,"Rcpp (>= 0.10.4)","GPL (>= 2)",
"XBRL","0.99.14","2015-01-08 18:21:13","2015-01-10","2015-02-18",,"Rcpp (>= 0.10.4)","GPL (>= 2)",
"XBRL","0.99.15","2015-02-13 20:22:55","2015-02-19","2015-04-20",,"Rcpp (>= 0.10.4)","GPL (>= 2)",
"XLConnect","0.2-10","2015-01-25 15:06:17","2015-01-27","2015-03-02","R (>= 2.10.0), XLConnectJars (== 0.2-9)","methods, rJava","GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), fImport, forecast, zoo, scales"
"XLConnect","0.2-11","2015-03-01 17:58:21","2015-03-03","2015-04-20","R (>= 2.10.0), XLConnectJars (== 0.2-9)","methods, rJava","GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), zoo"
"XLConnect","0.2-5","2013-03-18 21:35:31","2013-09-03","2014-01-01","R (>= 2.10.0), rJava, utils, methods",,"GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), fImport, forecast, zoo, scales"
"XLConnect","0.2-6","2013-12-31 18:24:59","2014-01-02","2014-01-06","R (>= 2.10.0)","methods, rJava, utils","GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), fImport, forecast, zoo, scales"
"XLConnect","0.2-7","2014-01-03 21:45:56","2014-01-07","2014-08-08","R (>= 2.10.0)","methods, rJava, utils","GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), fImport, forecast, zoo, scales"
"XLConnect","0.2-8","2014-08-06 07:21:24","2014-08-09","2014-08-15","R (>= 2.10.0), XLConnectJars (== 0.2-8)","methods, rJava","GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), fImport, forecast, zoo, scales"
"XLConnect","0.2-9","2014-08-14 06:52:27","2014-08-16","2015-01-26","R (>= 2.10.0), XLConnectJars (== 0.2-9)","methods, rJava","GPL-3","RUnit, lattice, ggplot2 (>= 0.9.3), fImport, forecast, zoo, scales"
"XLConnectJars","0.2-8","2014-08-06 07:20:12","2014-08-09","2014-08-15",,"rJava","GPL-3",
"XLConnectJars","0.2-9","2014-08-14 06:52:32","2014-08-16","2015-04-20",,"rJava","GPL-3",
"XML","3.98-1.1","2013-06-20 15:50:40","2013-09-03","2015-04-20","R (>= 1.2.0), methods, utils","methods","BSD","bitops, RCurl"
"XML2R","0.0.1","2013-10-20 00:36:11","2013-10-22","2014-01-06","R (>= 2.15.1)","XML, plyr","GPL (>= 2)",
"XML2R","0.0.2","2014-01-04 22:35:24","2014-01-07","2014-01-17","R (>= 2.15.1), XML","plyr","GPL (>= 2)",
"XML2R","0.0.3","2014-01-16 07:34:56","2014-01-18","2014-01-24","R (>= 2.15.1), XML","plyr","GPL (>= 2)",
"XML2R","0.0.4","2014-01-23 06:56:39","2014-01-25","2014-03-05","R (>= 2.15.1), XML","plyr","GPL (>= 2)",
"XML2R","0.0.5","2014-03-04 01:09:09","2014-03-06","2014-03-10","R (>= 2.15.1), XML","RCurl, plyr","GPL (>= 2)",
"XML2R","0.0.6","2014-03-10 00:29:41","2014-03-11","2015-04-20","R (>= 2.15.1), XML","RCurl, plyr","GPL (>= 2)",
"XNomial","1.0.1","2014-02-09 00:45:20","2014-02-11","2015-04-20",,,"GPL","knitr"
"XiMpLe","0.03-20","2013-04-08 14:31:23","2013-09-03","2013-12-23","R (>= 2.9.0),methods",,"GPL (>= 3)","testthat"
"XiMpLe","0.03-21","2013-12-21 18:56:37","2013-12-24","2015-04-20","R (>= 2.9.0),methods",,"GPL (>= 3)","testthat"
"Xmisc","0.0.10","2014-06-16 23:53:48","2014-06-19","2014-08-06","R (>= 3.1.0)","methods","GPL (>= 2)","data.table, stringr"
"Xmisc","0.1.0","2014-08-05 00:47:15","2014-08-07","2014-08-13","R (>= 3.1.0)","methods","GPL (>= 2)","datasets, data.table, stringr"
"Xmisc","0.2.1","2014-08-12 22:38:11","2014-08-14","2015-04-20","R (>= 3.1.0)","methods","GPL (>= 2)","RUnit, datasets, data.table"
"YPmodel","1.0","2013-07-11 07:35:33","2013-09-03","2014-02-19","R (>= 2.10.0)",,"GPL (>= 3)",
"YPmodel","1.1","2014-02-17 07:12:01","2014-02-20","2015-04-20","R (>= 2.10.0)",,"GPL (>= 3)",
"YaleToolkit","4.1","2012-02-20 16:08:35","2013-09-03","2015-01-02","grid, lattice, vcd, MASS, colorspace, barcode, gpairs",,"GPL (>= 2)",
"YaleToolkit","4.2.2","2014-12-31 16:10:00","2015-01-03","2015-04-20","grid","foreach, iterators","LGPL-3",
"YieldCurve","4.1","2013-01-30 15:15:10","2013-09-03","2015-04-20","R (>= 2.10), xts",,"GPL (>= 2)",
"YjdnJlp","0.9.8","2012-10-29 08:58:09","2013-09-03","2013-12-23","XML,RCurl,methods",,"BSD",
"YourCast","1.6","2013-09-06 07:03:07","2013-09-07","2014-01-17","R (>= 2.15.0), foreign, ggplot2, reshape2, gridExtra, lattice",,"GPL (>= 2)",
"YourCast","1.6.1","2014-01-16 20:17:52","2014-01-18","2014-10-08","R (>= 2.15.0), ggplot2","grid, gridExtra, lattice, foreign, reshape2","GPL (>= 2)",
"YourCast","1.6.2","2014-10-06 15:09:20","2014-10-09","2015-04-20","R (>= 2.15.0), ggplot2","grid, gridExtra, lattice, foreign, reshape2","GPL (>= 2)",
"YplantQMC","0.5","2013-03-03 12:24:14","2013-09-03","2014-12-03","R (>= 2.10), rgl, geometry, LeafAngle, devtools",,"GPL-2","maps,gplots,ypaddon"
"YplantQMC","0.6-3","2014-12-02 00:36:17","2014-12-04","2014-12-05","R (>= 2.10), rgl, geometry, LeafAngle, gplots",,"GPL-2","maps"
"YplantQMC","0.6-4","2014-12-03 08:47:39","2014-12-06","2015-04-20","R (>= 2.10), rgl, geometry, LeafAngle, gplots",,"GPL-2","maps"
"YuGene","1.0","2012-11-29 06:47:59","2013-09-03","2013-12-23","R (>= 2.10)",,"GPL (>= 2)",
"YuGene","1.1","2014-02-20 07:09:55","2014-02-22","2014-04-16","R (>= 2.10)",,"GPL (>= 2)",
"YuGene","1.1.1","2014-04-15 01:11:31","2014-04-17","2014-07-14","R (>= 2.10)",,"GPL (>= 2)",
"YuGene","1.1.2","2014-07-13 07:33:14","2014-07-15","2015-04-20","mixOmics,R (>= 2.10)",,"GPL (>= 2)",
"ZIM","1.0","2013-06-19 00:41:34","2013-09-03","2014-05-09","MASS",,"GPL-2",
"ZIM","1.0.1","2014-05-08 15:00:00","2014-05-10","2014-10-08","MASS",,"GPL (>= 2)",
"ZIM","1.0.2","2014-10-06 08:06:19","2014-10-09","2015-04-20","MASS",,"GPL (>= 2)",
"ZeBook","0.5","2013-06-18 00:10:52","2013-09-03","2015-04-20","triangle, deSolve, R(>= 2.10.0)",,"LGPL-3",
"Zelig","4.1-3","2013-02-19 17:45:38","2013-09-03","2013-09-23","R (>= 2.14), boot, MASS, methods, sandwich",,"GPL (>= 2)","Amelia, mvtnorm, Formula, gee, survey, survival, systemfit, MatchIt, MCMCpack, coda"
"Zelig","4.2-1","2013-09-21 08:14:33","2013-09-24","2015-04-20","R (>= 2.14), boot, MASS, methods, sandwich",,"GPL (>= 2)","Amelia, mvtnorm, Formula, gee, survey, survival, systemfit, MatchIt, MCMCpack, coda"
"ZeligChoice","0.7-0","2012-10-12 23:07:27","2013-09-03","2013-09-13","Zelig (>= 4.0-11), VGAM (>= 0.8-4), R (>= 2.10)",,"GPL (>= 2)",
"ZeligChoice","0.8-1","2013-09-23 16:20:13","2013-09-26","2015-04-20","Zelig (>= 4.2-0), R (>= 2.10), VGAM (>= 0.8-4)",,"GPL (>= 2)",
"ZeligGAM","0.7-0","2012-10-17 09:23:26","2013-09-03","2013-09-13","Zelig (>= 4.0-11), mgcv",,"GPL (>= 2)",
"ZeligGAM","0.7-1","2013-09-23 17:54:36","2013-09-26","2015-04-20","Zelig (>= 4.0-11), mgcv",,"GPL (>= 2)",
"ZeligMultilevel","0.7-0","2012-10-22 17:58:28","2013-09-03","2013-09-13","Zelig (>= 4.0-11), lme4",,"GPL (>= 2)",
"ZeligMultilevel","0.7-1","2013-09-23 16:17:24","2013-09-26","2015-04-20","Zelig (>= 4.0-11), lme4",,"GPL (>= 2)",
"aCGH.Spline","2.2","2012-10-29 08:58:09","2013-09-03","2014-09-01","rJava",,"GPL (>= 2)",
"aCRM","0.1.0","2013-03-25 11:08:43","2013-09-03","2014-03-31",,"dummies, randomForest, kernelFactory, ada","GPL (>= 2)",
"aCRM","0.1.1","2014-03-28 11:56:45","2014-04-01","2015-04-20",,"dummies, randomForest, kernelFactory, ada","GPL (>= 2)",
"aLFQ","1.0","2013-09-13 11:27:24","2013-09-17","2013-10-16","R (>= 2.15.0), data.table, plyr, caret, seqinr",,"GPL (>= 3)","lattice, randomForest, ROCR"
"aLFQ","1.1","2013-10-11 12:54:10","2013-10-17","2013-10-21","R (>= 2.15.0), data.table, plyr, caret, seqinr",,"GPL (>= 3)","lattice, randomForest, ROCR, reshape2, testthat"
"aLFQ","1.2","2013-10-18 11:14:02","2013-10-22","2014-02-14","R (>= 2.15.0), data.table, plyr, caret, seqinr",,"GPL (>= 3)","lattice, randomForest, ROCR, reshape2, testthat"
"aLFQ","1.3","2014-02-12 11:52:11","2014-02-15","2014-02-28","R (>= 2.15.0)","data.table, plyr, caret, seqinr","GPL (>= 3)","lattice, randomForest, ROCR, reshape2, testthat, protiq"
"aLFQ","1.3.1","2014-02-27 18:04:06","2014-03-01","2014-10-01","R (>= 2.15.0)","data.table, plyr, caret, seqinr","GPL (>= 3)","lattice, randomForest, ROCR, reshape2, testthat, protiq"
"aLFQ","1.3.2","2014-09-29 17:52:00","2014-10-02","2015-04-20","R (>= 2.15.0)","data.table, plyr, caret, seqinr, lattice, randomForest, ROCR, reshape2, protiq","GPL (>= 3)","testthat"
"aRpsDCA","1.0.0","2014-04-04 01:20:43","2014-04-05","2015-04-20",,,"LGPL-2.1",
"aRxiv","0.5.2","2014-09-18 01:01:42","2014-09-20","2014-11-06","R (>= 3.0.0)","httr, utils, XML","MIT + file LICENSE","devtools, knitr, roxygen2, testthat"
"aRxiv","0.5.5","2014-11-07 09:59:47","2014-11-10","2014-12-29","R (>= 3.0.0)","httr, utils, XML","MIT + file LICENSE","devtools, knitr, roxygen2, testthat"
"aRxiv","0.5.8","2014-12-28 06:39:37","2014-12-30","2015-04-20","R (>= 3.0.0)","httr, utils, XML","MIT + file LICENSE","devtools, knitr, roxygen2, testthat"
"abc","1.7","2013-06-06 19:53:45","2013-09-03","2013-10-30","R (>= 2.10), MASS, nnet, quantreg, locfit",,"GPL (>= 3)",
"abc","1.8","2013-10-29 14:33:25","2013-10-31","2014-07-14","R (>= 2.10), nnet, quantreg, MASS",,"GPL (>= 3)",
"abc","2.0","2014-07-11 23:50:44","2014-07-15","2015-04-20","R (>= 2.10), nnet, quantreg, MASS, locfit",,"GPL (>= 3)",
"abcdeFBA","0.4","2012-09-15 15:13:27","2013-09-03","2015-04-20","Rglpk,rgl,corrplot,lattice,R (>= 2.10)",,"GPL-2","LIM,sybil"
"abctools","0.2","2013-05-20 14:18:38","2013-09-03","2013-12-20","R (>= 2.10), abc, abind, parallel, pls, plyr",,"GPL (>= 2)","ggplot2"
"abctools","0.2-2","2013-12-18 17:54:25","2013-12-21","2014-06-27","R (>= 2.10), abc, abind, parallel, pls, plyr",,"GPL (>= 2)","ggplot2"
"abctools","0.3-2","2014-06-25 11:11:15","2014-06-28","2014-12-17","R (>= 2.10), abc, abind, parallel, pls, plyr",,"GPL (>= 2)","ggplot2"
"abctools","1.0","2014-12-16 18:04:18","2014-12-18","2015-04-20","R (>= 2.10), abc, abind, parallel, plyr",,"GPL (>= 2)","ggplot2"
"abd","0.2-5","2013-04-02 07:46:11","2013-09-03","2014-04-02","R (>= 2.10), nlme, lattice, grid, mosaic",,"GPL-2","boot, car, ggplot2, plyr, HH, ICC, vcd, Hmisc, manipulate"
"abd","0.2-6","2014-03-31 22:24:54","2014-04-03","2015-02-04","R (>= 3.0), nlme, lattice, grid, mosaic",,"GPL-2","boot, car, ggplot2, plyr, HH, ICC, vcd, Hmisc, manipulate"
"abd","0.2-7","2015-02-02 07:38:05","2015-02-05","2015-04-20","R (>= 3.0), nlme, lattice, grid, mosaic",,"GPL-2","boot, car, ggplot2, plyr, HH, ICC, vcd, Hmisc"
"abf2","0.7-0","2013-07-19 16:42:53","2013-09-03","2015-03-06",,,"Artistic-2.0",
"abf2","0.7-1","2015-03-04 18:39:19","2015-03-07","2015-04-20",,,"Artistic-2.0",
"abind","1.4-0","2011-11-27 10:14:10","2013-09-03","2015-03-16","R (>= 1.5.0)",,"LGPL (>= 2)",
"abind","1.4-3","2015-03-13 07:54:46","2015-03-17","2015-04-20","R (>= 1.5.0)",,"LGPL (>= 2)",
"abn","0.83","2013-03-07 13:16:27","2013-09-03","2014-12-10","R (>= 2.15.1)",,"GPL (>= 2)","INLA, Rgraphviz, Cairo"
