,Package,Version,License,Depends,Imports,Suggests,BiocCategory,BiocVersion,BiocDate
2336,pd.2006.07.18.hg18.refseq.promoter,1.1.0,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2337,rat2302.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2338,gahgu133bprobe,2.1.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.5.24)",,,AnnotationData,2.7,2010-10-18
2339,BSgenome.Gaculeatus.UCSC.gasAcu1,1.3.16,Artistic-2.0,BSgenome(>= 1.18.3),BSgenome,,AnnotationData,2.7,2010-10-18
2340,u133x3pcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2341,HsAgilentDesign026652.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2342,mogene10stprobeset.db,6.0.2,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2343,mgu74c.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2344,hom.Dm.inp.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2345,barley1probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2346,canine.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2347,hu35ksubdcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2348,oligoData,1.0.0,LGPL (>= 2),oligo,,"pd.hg.u95av2,pd.huex.1.0.st.v2,pd.mapping50k.xba240,pd.hg18.60mer.expr,pd.2006.07.18.hg18.refseq.promoter,pd.hugene.1.0.st.v1",AnnotationData,2.7,2010-10-18
2349,illuminaMousev1.db,1.8.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2350,org.Sco.eg.db,2.4.1,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.9.7)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2351,genomewidesnp6Crlmm,1.0.4,Artistic-2.0,,utils,,AnnotationData,2.7,2010-10-18
2352,mogene11stprobeset.db,2.0.2,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2353,malaria.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2354,yeast2cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2355,ricecdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2356,rattoxfxcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2357,bovine.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2358,u133aaofav2cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2359,mu11ksubbcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2360,adme16cod.db,2.9.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2361,org.At.tair.db,2.4.7,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.12.0)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2362,BSgenome.Athaliana.TAIR.01222004,1.3.16,Artistic-2.0,BSgenome(>= 1.14.0),BSgenome,,AnnotationData,2.7,2010-10-18
2363,r10kcod.db,2.9.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2364,hs25kresogen.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2365,hgfocuscdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2366,hom.Rn.inp.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2367,tomatoprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2368,saureuscdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2369,rattoxfxprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2370,ragene11sttranscriptcluster.db,2.0.1,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2371,pd.ht.hg.u133.plus.pm,1.1.0,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2372,mgug4104a.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2373,hugene10sttranscriptcluster.db,6.0.1,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2374,org.Sc.sgd.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2375,arabidopsis.db0,2.4.7,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.15)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2376,SNPlocs.Hsapiens.dbSNP.20080617,0.99.1,Artistic-2.0,,,,AnnotationData,2.7,2010-10-18
2377,hgu133atagcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2378,medicagoprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2379,hgu133a.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2380,nugomm1a520177.db,2.2.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2381,org.Hs.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2382,mirna102xgaincdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2383,nugomm1a520177probe,2.2.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2384,hu6800subccdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2385,hthgu133b.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2386,zebrafish.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2387,pd.hg.u95av2,1.1.0,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2388,hom.Dr.inp.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2389,mirna10cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2390,gahgu95b.db,2.1.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2391,u133x3pprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2392,saureusprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2393,mirbase.db,0.4.0,file LICENSE,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2394,mouse4302probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2395,hugene10stv1probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2396,sugarcaneprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2397,pd.mapping50k.xba240,1.1.0,"Artistic License, Version 2.0","R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2398,mgu74bv2.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2399,BSgenome.Ecoli.NCBI.20080805,1.3.16,Artistic-2.0,BSgenome(>= 1.14.0),BSgenome,,AnnotationData,2.7,2010-10-18
2400,ye6100subbcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2401,test3probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2402,moe430a.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2403,wheatprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2404,rae230b.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2405,plasmodiumanophelescdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2406,moe430bcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2407,hguatlas13k.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2408,mouse.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.15)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2409,rhesuscdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2410,hgu95a.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2411,mgu74cv2probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2412,hgu219probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2413,org.Rn.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2414,ath1121501cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2415,hgu95bcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2416,rgu34ccdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2417,pd.mogene.1.0.st.v1,3.0.2,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2418,mu11ksuba.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2419,ecoliasv2cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2420,mgu74cv2.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2421,mu19ksubacdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2422,drosgenome1probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2423,hu6800cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2424,org.Mm.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2425,pd.ragene.1.0.st.v1,3.0.2,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2426,ecoli2.db,2.4.7,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.9),org.EcK12.eg.db(>= 2.4.6)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2427,canine.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Cf.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2428,illuminaHumanDASLBeadID.db,1.8.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2429,hguqiagenv3.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2430,citruscdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2431,hgu219.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2432,org.Ag.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2433,Hs6UG171.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2434,vitisviniferacdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2435,illuminaHumanv3.db,1.8.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2436,maizeprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2437,org.Pt.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2438,SNPlocs.Hsapiens.dbSNP.20101109,0.99.2,Artistic-2.0,"IRanges,GenomicRanges","methods,IRanges,GenomicRanges","Biostrings,BSgenome(>= 1.16.1),BSgenome.Hsapiens.UCSC.hg19",AnnotationData,2.7,2010-10-18
2439,xenopus.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.7.0)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2440,test3cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2441,pd.moex.1.0.st.v1,3.0.2,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2442,pd.hugene.1.1.st.v1,3.0.2,Artistic-2.0,"R (>= 2.11.0), methods,RSQLite(>= 0.7-1),oligoClasses(>= 1.9.30),oligo(>= 1.11.18),DBI","Biostrings(>= 2.13.50),IRanges(>= 1.3.89)",,AnnotationData,2.7,2010-10-18
2443,org.Bt.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2444,RaExExonProbesetLocation,1.0.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.8.1)",,,AnnotationData,2.7,2010-10-18
2445,mgug4120a.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2446,gahgu133a.db,2.1.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2447,pedbarrayv10.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2448,gahgu95e.db,2.1.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2449,zebrafishprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2450,ygs98.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Sc.sgd.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2451,test2cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2452,bovineprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2453,canine2probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2454,SNPlocs.Hsapiens.dbSNP.20100427,0.99.2,Artistic-2.0,"IRanges,GenomicRanges","methods,IRanges,GenomicRanges","Biostrings,BSgenome(>= 1.16.1),BSgenome.Hsapiens.UCSC.hg19",AnnotationData,2.7,2010-10-18
2455,mgu74b.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2456,hu35ksubccdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2457,BSgenome.Dmelanogaster.UCSC.dm2,1.3.16,Artistic-2.0,BSgenome(>= 1.14.0),BSgenome,,AnnotationData,2.7,2010-10-18
2458,hcg110probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2459,org.Mmu.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2460,xtropicalisprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2461,BSgenome.Dmelanogaster.UCSC.dm3,1.3.16,Artistic-2.0,BSgenome(>= 1.14.0),BSgenome,,AnnotationData,2.7,2010-10-18
2462,ecolicdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2463,hgu95e.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2464,mogene11sttranscriptcluster.db,2.0.1,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Mm.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2465,agcdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2466,hthgu133pluspmprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2467,mu6500subacdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2468,PartheenMetaData.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2469,rgu34b.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2470,nugohs1a520180.db,2.2.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2471,fly.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.15)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2472,htrat230pmprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2473,org.EcK12.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2474,illuminaRatv1.db,1.8.0,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2475,human550v3bCrlmm,1.0.3,Artistic-2.0,,utils,,AnnotationData,2.7,2010-10-18
2476,ecoliK12.db0,2.4.6,"The Artistic License, Version 2.0","R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2477,soybeancdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2478,rgu34a.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2479,rat2302cdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2480,hom.Sc.inp.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",,AnnotationData,2.7,2010-10-18
2481,chickenprobe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2482,hgu133plus2.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Hs.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2483,ragene10stprobeset.db,5.0.2,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Rn.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2484,BSgenome.Mmusculus.UCSC.mm8,1.3.16,Artistic-2.0,BSgenome(>= 1.14.0),BSgenome,,AnnotationData,2.7,2010-10-18
2485,mouse430a2probe,2.7.0,LGPL,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",,,AnnotationData,2.7,2010-10-18
2486,chicken.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Gg.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2487,mgu74ccdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2488,canine2.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Cf.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2489,BSgenome.Mmusculus.UCSC.mm9,1.3.16,Artistic-2.0,BSgenome(>= 1.14.0),BSgenome,,AnnotationData,2.7,2010-10-18
2490,org.Cf.eg.db,2.4.6,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2491,celegans.db,2.4.5,Artistic-2.0,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.8),org.Ce.eg.db(>= 2.4.5)","methods,AnnotationDbi",annotate,AnnotationData,2.7,2010-10-18
2492,gahgu133plus2cdf,2.1.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
2493,cMAP,1.15.1,LGPL,R(>= 2.4.0),,,AnnotationData,2.7,2010-10-18
2494,hgu133acdf,2.7.0,LGPL,utils,,,AnnotationData,2.7,2010-10-18
