,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
Clonality,"Classification,CopyNumberVariation,Microarray,Software,aCGH",,,GPL-3,,"DNAcopy, grDevices, graphics, stats, utils",,&nbsp;,"gdata,DNAcopy","R (>= 2.12.2),DNAcopy",1.14.0,BioC 2.8 (R-2.13),,,
CoCiteStats,Software,,,CPL,,AnnotationDbi,,&nbsp;,,"R (>= 2.0),org.Hs.eg.db",1.38.0,BioC 1.6 (R-2.1) or earlier,,,
CoGAPS,"GeneExpression,Microarray,Software",,"Rcpp,BH",GPL (==2),,"graphics, grDevices, methods, stats, utils",,&nbsp;,,"R (>= 3.0.1),Rcpp(>= 0.11.2),RColorBrewer(>= 1.0.5),gplots(>= 2.8.0)",2.0.0,BioC 2.7 (R-2.12),,,
CoRegNet,"GeneExpression,GeneRegulation,GraphAndNetwork,Network,NetworkEnrichment,NetworkInference,Software,SystemsBiology,Transcription,Visualization",,,GPL-3,,,,&nbsp;,"RColorBrewer,gplots,BiocStyle,knitr","R (>= 2.14),igraph,shiny,arules, methods",1.1.7,BioC 3.0 (R-3.1),,,
CompGO,"GO,GeneSetEnrichment,MultipleComparison,Software,Visualization",,,GPL-2,,"rtracklayer,Rgraphviz,ggplot2,GenomicFeatures,TxDb.Mmusculus.UCSC.mm9.knownGene,pcaMethods,reshape2,pathview",,&nbsp;,,RDAVIDWebService,1.2.0,BioC 2.14 (R-3.1),,,
ConsensusClusterPlus,"Clustering,Software",,,GPL version 2,,"Biobase,ALL, graphics, stats, utils,cluster",,&nbsp;,,,1.20.0,BioC 2.6 (R-2.11),DeSousa2013,,
CopyNumber450k,"CopyNumberVariation,DNAMethylation,Microarray,Preprocessing,QualityControl,Software",,,Artistic-2.0,,methods,,&nbsp;,"CopyNumber450kData,minfiData","Biobase,minfi,DNAcopy,preprocessCore,BiocGenerics",1.2.0,BioC 2.14 (R-3.1),,,
CorMut,"Sequencing,Software",,,GPL-2,,,,&nbsp;,,"seqinr,igraph",1.8.0,BioC 2.11 (R-2.15),,,
Cormotif,"DifferentialExpression,Microarray,Software",,,GPL-2,,"affy, graphics, grDevices",,&nbsp;,,"R (>= 2.12.0),affy,limma",1.12.0,BioC 2.9 (R-2.14),,,
CoverageView,"ChIPSeq,RNASeq,Sequencing,Software,Technology,Visualization",,,Artistic-2.0,,"S4Vectors,IRanges,GenomicRanges,GenomicAlignments, parallel, tools",,&nbsp;,,"R (>= 2.10), methods,Rsamtools,rtracklayer",1.2.0,BioC 2.14 (R-3.1),,,
DART,"DifferentialExpression,GeneExpression,GraphAndNetwork,Pathways,Software",,,GPL-2,,,,&nbsp;,"breastCancerVDX,breastCancerMAINZ,Biobase","R (>= 2.10.0),igraph(>= 0.6.0)",1.12.0,BioC 2.10 (R-2.15),,,
DASiR,"Annotation,Software",,,LGPL (>= 3),,,,&nbsp;,,"IRanges,GenomicRanges,XML,Biostrings",1.6.0,BioC 2.12 (R-3.0),,,
DAVIDQuery,"Annotation,Software",,,GPL-2,,,,&nbsp;,,"RCurl(>= 1.4.0), utils",1.26.0,BioC 2.4 (R-2.9),IdMappingRetrieval,,
DBChIP,"ChIPSeq,Genetics,Sequencing,Software,Transcription",,,GPL (>= 2),,,,&nbsp;,"ShortRead,BiocGenerics","R (>= 2.15.0),edgeR,DESeq",1.10.0,BioC 2.11 (R-2.15),,,
DECIPHER,"Alignment,Clustering,DataImport,Genetics,Microarray,QualityControl,Sequencing,Software,Visualization,qPCR",,"Biostrings,RSQLite,S4Vectors,IRanges,XVector",GPL-3,,"methods,S4Vectors,IRanges,XVector",,&nbsp;,,"R (>= 2.13.0),Biostrings(>= 2.31.9),RSQLite(>= 0.9), stats, parallel",1.12.0,BioC 2.9 (R-2.14),,,
DEDS,"DifferentialExpression,Microarray,Software",,,LGPL,,,,&nbsp;,,R (>= 1.7.0),1.40.0,BioC 1.6 (R-2.1) or earlier,,,
DEGraph,"DecisionTree,DifferentialExpression,GraphAndNetwork,Microarray,Network,NetworkEnrichment,Software",,,GPL-3,,"graph,KEGGgraph,lattice,mvtnorm,R.methodsS3,RBGL,Rgraphviz,rrcov,NCIgraph","graphite,ToPASeq",&nbsp;,"corpcor,fields,graph,KEGGgraph,lattice,marray,RBGL,rrcov,Rgraphviz,NCIgraph","R (>= 2.10.0),R.utils",1.18.0,BioC 2.7 (R-2.12),,,
DEGreport,"DifferentialExpression,GeneExpression,RNASeq,ReportWriting,Software,Visualization",,,GPL (>=2),,"plyr, utils,ggplot2,Nozzle.R1,coda,edgeR",,&nbsp;,"knitr,biomaRt,RUnit,BiocStyle,BiocGenerics,BiocParallel","R (>= 3.0.0),rjags,quantreg",1.0.0,BioC 3.0 (R-3.1),,,jags (>= 3.0.0)
DEGseq,"DifferentialExpression,GeneExpression,Preprocessing,RNASeq,Software",,,LGPL (>=2),,"graphics, grDevices, methods, stats, utils",,&nbsp;,,"R (>= 2.8.0),qvalue,samr, methods",1.20.0,BioC 2.5 (R-2.10),,,
DESeq,"ChIPSeq,DifferentialExpression,RNASeq,SAGE,Sequencing,Software",,,GPL (>= 3),http://www-huber.embl.de/users/anders/DESeq,"genefilter,geneplotter, methods,MASS,RColorBrewer","BitSeq,compcodeR,DESeq2,dexus,DiffBind,ELBOW,gage,gCMAP,genefilter,GenomicAlignments,GenomicRanges,oneChannelGUI,pasilla,RUVSeq,SSPA",&nbsp;,"pasilla(>= 0.2.10),vsn,gplots","BiocGenerics(>= 0.7.5),Biobase(>= 2.21.7),locfit,lattice",1.18.0,BioC 2.6 (R-2.11),"ampliQueso,ArrayExpressHTS,easyRNASeq,EDASeq,EDDA,HTSFilter,rnaSeqMap,ToPASeq","DBChIP,EDDA,metaseqR,parathyroid,Polyfit,SeqGSEA,TCC,tRanslatome",
DESeq2,"ChIPSeq,DifferentialExpression,GeneExpression,RNASeq,SAGE,Sequencing,Software",,"Rcpp,RcppArmadillo",GPL (>= 3),,"BiocGenerics(>= 0.7.5),Biobase,BiocParallel,genefilter, methods,locfit,geneplotter,ggplot2,Hmisc","BiocGenerics,compcodeR,DiffBind,gage",&nbsp;,"RUnit,gplots,knitr,RColorBrewer,BiocStyle,airway,pasilla(>= 0.2.10),DESeq,vsn","S4Vectors,IRanges,GenomicRanges,Rcpp(>= 0.10.1),RcppArmadillo(>= 0.3.4.4)",1.6.3,BioC 2.12 (R-3.0),"FourCSeq,HTSFilter,phyloseq,ReportingTools,systemPipeR,ToPASeq","DEXSeq,FourCSeq,MLSeq,TCC",
DEXSeq,"DifferentialExpression,RNASeq,Sequencing,Software",parallel,,GPL (>= 3),,"BiocGenerics,biomaRt,hwriter, methods,stringr,Rsamtools,statmod,geneplotter,genefilter,RColorBrewer","GenomicRanges,oneChannelGUI,pasilla",&nbsp;,"GenomicFeatures(>= 1.13.29),pasilla(>= 0.2.22),parathyroidSE,BiocStyle,knitr","Biobase,GenomicRanges,IRanges,DESeq2(>= 1.5.63),BiocParallel",1.12.2,BioC 2.9 (R-2.14),,parathyroid,
DFP,"DifferentialExpression,Microarray,Software",,,GPL-2,,,,&nbsp;,,"methods,Biobase(>= 2.5.5)",1.24.0,BioC 2.3 (R-2.8),,,
DMRcate,"DNAMethylation,DifferentialExpression,DifferentialMethylation,GeneExpression,Genetics,GenomeAnnotation,MethylationArray,Microarray,MultipleComparison,OneChannel,QualityControl,Software,TimeCourse,TwoChannel",,,file LICENSE,,"methods, graphics",,&nbsp;,"knitr,RUnit,BiocGenerics,IlluminaHumanMethylation450kanno.ilmn12.hg19,GenomicRanges","R (>= 3.1.0),limma,minfi,DMRcatedata",1.2.0,BioC 2.14 (R-3.1),,,
DMRforPairs,"Annotation,DNAMethylation,DifferentialMethylation,Microarray,ReportWriting,Software,Visualization",,,GPL (>= 2),http://www.martinrijlaarsdam.nlhttp://www.erasmusmc.nl/pathologie/research/lepo/3898639/,,,&nbsp;,,"R (>= 2.15.2),Gviz(>= 1.2.1),R2HTML(>= 2.2.1),GenomicRanges(>= 1.10.7), parallel",1.2.0,BioC 2.14 (R-3.1),,,
DNAcopy,"CopyNumberVariation,Microarray,Software",,,GPL (>= 2),,,"beadarraySNP,Clonality,cn.mops,fastseg,genoset",&nbsp;,,,1.40.0,BioC 1.6 (R-2.1) or earlier,"ADaCGH2,ArrayTV,ChAMP,Clonality,cn.farms,CNAnorm,CNVrd2,GWASTools,MEDIPS,MinimumDistance,QDNAseq,Repitools,snapCGH,SomatiCA","CGHcall,cghMCR,Clonality,CopyNumber450k,CRImage,MEDIPS,snapCGH,SomatiCA",
DNaseR,"Genetics,Software,Transcription",,,GPL-2 + file LICENSE,,"GenomeInfoDb,GenomicRanges,Rsamtools",,&nbsp;,"RUnit,BiocGenerics","R (>= 2.10.0),BiocGenerics,S4Vectors,IRanges",1.4.0,BioC 2.13 (R-3.0),,,
DOQTL,"GeneticVariability,Genetics,HiddenMarkovModel,SNP,Software",,,GPL-3,http://do.jax.org,"annotate,annotationTools,biomaRt,Biobase,BiocGenerics,corpcor,GenomicRanges,hwriter,IRanges,mclust,MUGAExampleData,org.Hs.eg.db,org.Mm.eg.db,QTLRel,Rsamtools,RUnit,XML",,&nbsp;,,R (>= 2.10.0),1.0.0,BioC 3.0 (R-3.1),,,
DOSE,"Annotation,GeneSetEnrichment,MultipleComparison,Software,Visualization",,,Artistic-2.0,https://github.com/GuangchuangYu/DOSE,"methods,plyr,qvalue, stats4,AnnotationDbi,DO.db,igraph,scales,reshape2, graphics,GOSemSim, grid,ggplot2","ChIPseeker,GOSemSim",&nbsp;,"org.Hs.eg.db,clusterProfiler,ReactomePA,ChIPseeker,knitr",R (>= 3.0.0),2.4.0,BioC 2.9 (R-2.14),"clusterProfiler,facopy,ReactomePA",,
DSS,"ChIPSeq,DNAMethylation,DifferentialExpression,RNASeq,Sequencing,Software",,,GPL,,"methods,bsseq,edgeR",compcodeR,&nbsp;,,"Biobase, splines",2.4.1,BioC 2.11 (R-2.15),,,
DTA,"DifferentialExpression,GeneExpression,Microarray,Software,Transcription",,,Artistic-2.0,,scatterplot3d,,&nbsp;,,"R (>= 2.10),LSD",2.12.1,BioC 2.9 (R-2.14),,,
DeconRNASeq,"DifferentialExpression,Software",,,GPL-2,,,,&nbsp;,,"R (>= 2.14.0),limSolve,pcaMethods,ggplot2, grid",1.8.0,BioC 2.11 (R-2.15),,,
DiffBind,"ChIPSeq,DifferentialPeakCalling,Sequencing,Software","rgl, parallel,BiocParallel",Rsamtools,Artistic-2.0,,"RColorBrewer,amap,edgeR(>= 2.3.58),gplots, grDevices, stats, utils,IRanges,zlibbioc,lattice,S4Vectors",,&nbsp;,"DESeq,Rsamtools,DESeq2,BiocStyle","R (>= 2.15.0),GenomicRanges,limma,GenomicAlignments",1.12.3,BioC 2.9 (R-2.14),,"ChIPQC,MMDiff",
DirichletMultinomial,"Classification,Clustering,Sequencing,Software",,,LGPL-3,,"stats4, methods",,&nbsp;,"lattice, parallel,MASS,RColorBrewer,xtable","S4Vectors,IRanges",1.8.0,BioC 2.11 (R-2.15),TFBSTools,,gsl
DriverNet,"Network,Software",,,GPL-3,,,,&nbsp;,,"R (>= 2.10), methods",1.6.0,BioC 2.12 (R-3.0),,,
DrugVsDisease,"Clustering,GeneExpression,Microarray,Software",,,GPL-3,,"annotate,hgu133a.db,hgu133a2.db,hgu133plus2.db,RUnit,BiocGenerics,xtable",,&nbsp;,,"R (>= 2.10),affy,limma,biomaRt,ArrayExpress,GEOquery,DrugVsDiseasedata,cMap2data,qvalue",2.6.0,BioC 2.12 (R-3.0),,,
DupChecker,"Preprocessing,Software",,,GPL (>= 2),,"tools,R.utils,RCurl",,&nbsp;,knitr,,1.4.0,BioC 3.0 (R-3.1),,,
DynDoc,"Infrastructure,ReportWriting,Software",,,Artistic-2.0,,methods,,&nbsp;,,"methods, utils",1.44.0,BioC 1.6 (R-2.1) or earlier,,tkWidgets,
EBImage,"Software,Visualization",,,LGPL,,"BiocGenerics(>= 0.7.1), methods, graphics, grDevices, stats,abind,tiff,jpeg,png,locfit",HilbertVis,&nbsp;,BiocStyle,,4.8.3,BioC 1.8 (R-2.3),flowCHIC,"CRImage,DonaPLLP2013,flowcatchR,HD2013SGI,imageHTS",
EBSeq,"DifferentialExpression,MultipleComparison,RNASeq,Sequencing,Software,StatisticalMethod",,,Artistic-2.0,,,compcodeR,&nbsp;,,"blockmodeling,gplots, R (>= 3.0.0)",1.6.0,BioC 2.13 (R-3.0),,EBSeqHMM,
EBSeqHMM,"Bayesian,DifferentialExpression,GeneExpression,HiddenMarkovModel,MultipleComparison,RNASeq,Sequencing,Software,StatisticalMethod,TimeCourse",,,Artistic-2.0,,,,&nbsp;,,EBSeq,1.0.0,BioC 3.0 (R-3.1),,,
EBarrays,"Clustering,DifferentialExpression,Software",,,GPL (>= 2),,"Biobase,cluster, graphics, grDevices,lattice, methods, stats",Category,&nbsp;,,"R (>= 1.8.0),Biobase,lattice, methods",2.30.0,BioC 1.6 (R-2.1) or earlier,casper,"EBcoexpress,gaga,geNetClassifier",
EBcoexpress,"Bayesian,Software",,,GPL (>= 2),,,,&nbsp;,"graph,igraph,colorspace","EBarrays,mclust,minqa",1.10.0,BioC 2.10 (R-2.15),,,
EDASeq,"DifferentialExpression,Preprocessing,QualityControl,RNASeq,Sequencing,Software",,,Artistic-2.0,,"methods, graphics,BiocGenerics,IRanges(>= 1.13.9),DESeq,aroma.light,Rsamtools(>= 1.5.75)","HTSFilter,oneChannelGUI",&nbsp;,"BiocStyle,knitr,yeastRNASeq,leeBamViews,edgeR","Biobase(>= 2.15.1),ShortRead(>= 1.11.42)",2.0.0,BioC 2.9 (R-2.14),,"metaseqR,RUVSeq",
EDDA,"ChIPSeq,ExperimentalDesign,Normalization,RNASeq,Sequencing,Software",,Rcpp,GPL (>= 2),http://csb5.github.io/EDDA/,"graphics, stats, utils, parallel, methods,ROCR,DESeq,baySeq,snow,edgeR",,&nbsp;,,"Rcpp(>= 0.10.4), parallel, methods,ROCR,DESeq,baySeq,snow,edgeR",1.5.3,BioC 2.14 (R-3.1),,,
ELBOW,"GeneExpression,Microarray,MultiChannel,OneChannel,RNASeq,Sequencing,Software,Technology,TwoChannel",,,file LICENSE,,,,&nbsp;,"DESeq,GEOquery,limma,simpleaffy,affyPLM,RColorBrewer",R (>= 2.15.0),1.2.0,BioC 2.14 (R-3.1),,,
ENVISIONQuery,"Annotation,Software",,,GPL-2,,,,&nbsp;,,"rJava,XML, utils",1.14.0,BioC 2.8 (R-2.13),IdMappingRetrieval,IdMappingRetrieval,
EasyqpcR,"GeneExpression,Software,qPCR",,,GPL (>=2),,"plyr,matrixStats,plotrix,gWidgetsRGtk2",,&nbsp;,"SLqPCR,qpcrNorm,qpcR,knitr",,1.8.0,BioC 2.11 (R-2.15),,,
EnrichmentBrowser,"DifferentialExpression,GeneExpression,GeneSetEnrichment,GraphAndNetwork,Microarray,Network,NetworkEnrichment,Pathways,ReportWriting,Software,Visualization",,,Artistic-2.0,,"KEGGREST,MASS,RColorBrewer,Rgraphviz,SPIA,graph,limma,mixtools,neaGUI,qvalue,safe,stringr",,&nbsp;,"ALL,BiocStyle,hgu95av2.db","R (>= 3.0.0),Biobase,KEGGgraph",1.0.3,BioC 3.0 (R-3.1),,,
ExiMiR,"GeneExpression,Microarray,OneChannel,Preprocessing,Software,Transcription,TwoChannel",,,GPL-2,,"affyio(>= 1.13.3),Biobase(>= 2.5.5),preprocessCore(>= 1.10.0)",,&nbsp;,,"R (>= 2.10),Biobase(>= 2.5.5),affy(>= 1.26.1),limma",2.8.0,BioC 2.8 (R-2.13),,,
ExpressionView,"Classification,GeneExpression,Microarray,Software,Visualization",,,GPL (>= 2),,"methods,isa2,eisa,GO.db,KEGG.db,AnnotationDbi",,&nbsp;,"ALL,hgu95av2.db,biclust,affy","caTools,bitops, methods,isa2,eisa,GO.db,KEGG.db,AnnotationDbi",1.18.0,BioC 2.6 (R-2.11),,,
FEM,"DNAMethylation,DifferentialExpression,DifferentialMethylation,GeneRegulation,Network,NetworkEnrichment,Software,SystemsBiology",,,GPL (>=2),,,,&nbsp;,,"R (>= 2.10),Matrix,igraph,marray,corrplot,impute,limma,org.Hs.eg.db,graph,BiocGenerics",1.0.0,BioC 3.0 (R-3.1),,,
FGNet,"Annotation,Clustering,FunctionalGenomics,GO,GeneSetEnrichment,Network,NetworkEnrichment,Pathways,Software,Visualization",,,GPL (>= 2),http://www.cicancer.org,"igraph(>= 0.6),hwriter,R.utils,XML,plotrix,reshape2,RColorBrewer,png",,&nbsp;,"RGtk2,RCurl,RDAVIDWebService,gage,topGO,KEGGprofile,GO.db,KEGG.db,reactome.db,RUnit,BiocGenerics,org.Sc.sgd.db,knitr,rmarkdown,AnnotationDbi",R (>= 2.15),3.0.7,BioC 2.13 (R-3.0),,,
FRGEpistasis,"GeneticVariability,Genetics,NetworkInference,Software",,,GPL-2,,utils,,&nbsp;,,"R (>= 2.15),MASS,fda, methods, stats",1.2.0,BioC 2.14 (R-3.1),,,
FourCSeq,"Preprocessing,Sequencing,Software",,,GPL (>= 3),,"DESeq2,Biobase,Biostrings,GenomicRanges,Rsamtools,ggbio,reshape2,rtracklayer,fda,GenomicAlignments,gtools,Matrix",,&nbsp;,"BiocStyle,knitr,TxDb.Dmelanogaster.UCSC.dm3.ensGene","R (>= 3.0),GenomicRanges,ggplot2,DESeq2, splines, methods",1.0.0,BioC 3.0 (R-3.1),,,
FunciSNP,"Annotation,DataImport,DataRepresentation,Infrastructure,SequenceMatching,Software",parallel,,GPL-3,http://coetzeeseq.usc.edu/publication/Coetzee_SG_et_al_2012/,"AnnotationDbi,IRanges,Rsamtools(>= 1.6.1),rtracklayer(>= 1.14.1), methods,ChIPpeakAnno(>= 2.2.0),GenomicRanges,VariantAnnotation,plyr,org.Hs.eg.db,snpStats,ggplot2(>= 0.9.0),reshape(>= 0.8.4),scales",,&nbsp;,,"R (>= 2.14.0),ggplot2,TxDb.Hsapiens.UCSC.hg19.knownGene,FunciSNP.data",1.8.0,BioC 2.11 (R-2.15),,,
GENE.E,"Software,ThirdPartyClient",,,GPL-2,http://www.broadinstitute.org/cancer/software/GENE-E,"rhdf5,RCurl",,&nbsp;,"RUnit,BiocGenerics,knitr,golubEsets(>= 1.0)","R (>= 2.7.0),rhdf5(>= 2.8.0),RCurl(>= 1.6-6)",1.6.0,BioC 2.12 (R-3.0),,,GENE-E software.
GEOmetadb,"Infrastructure,Software",,,Artistic-2.0,http://gbnci.abcc.ncifcrf.gov/geo/,,antiProfilesData,&nbsp;,"knitr,rmarkdown,dplyr,tm,wordcloud","GEOquery,RSQLite",1.26.1,BioC 2.2 (R-2.7),,,
GEOquery,"DataImport,Microarray,OneChannel,SAGE,Software,TwoChannel",,,GPL-2,https://github.com/seandavi/GEOquery,"XML,RCurl","airway,antiProfilesData,dyebias,ELBOW,GeneExpressionSignature,parathyroid,parathyroidSE,PGSEA,RGSEA,Rnits,TargetScore",&nbsp;,"limma,knitr,rmarkdown","methods,Biobase",2.32.0,BioC 1.8 (R-2.3),"BeadArrayUseCases,ChIPXpress,SRAdb","DrugVsDisease,dyebiasexamples,GEOmetadb,SCAN.UPC",
GEOsubmission,"Microarray,Software",,,GPL (>= 2),,"affy,Biobase, utils",,&nbsp;,,,1.18.0,BioC 2.6 (R-2.11),,,
GEWIST,"Genetics,MultipleComparison,Software",,,GPL-2,,,,&nbsp;,,"R (>= 2.10),car",1.10.0,BioC 2.10 (R-2.15),,,
GGBase,"Genetics,Infrastructure,Software",,,Artistic-2.0,,"limma,genefilter,Biobase,BiocGenerics,Matrix,AnnotationDbi,digest,GenomicRanges",ind1KG,&nbsp;,"GGtools,illuminaHumanv1.db","R (>= 2.14), methods,snpStats",3.28.0,BioC 2.2 (R-2.7),,"ceu1kg,ceu1kgv,ceuhm3,dsQTL,encoDnaseI,GGdata,GGtools,hmyriB36,yri1kgv",
GGtools,"GeneExpression,GeneticVariability,Genetics,SNP,Software","MatrixEQTL,Homo.sapiens, parallel,foreach,doParallel,gwascat",,Artistic-2.0,,"methods, utils, stats,BiocGenerics,snpStats,ff,Rsamtools,AnnotationDbi,Biobase,bit,VariantAnnotation,hexbin,rtracklayer,Gviz, stats4,S4Vectors,IRanges,GenomeInfoDb,GenomicRanges,iterators,Biostrings,ROCR,biglm,ggplot2,reshape2","GGBase,hmyriB36,ind1KG",&nbsp;,"GGdata,illuminaHumanv1.db,SNPlocs.Hsapiens.dbSNP.20120608,multtest,aod,rmeta","R (>= 2.14),GGBase(>= 3.19.7),data.table, parallel",5.2.0,BioC 1.9 (R-2.4),ceuhm3,"ceu1kg,cgdv17,cheung2010,encoDnaseI,ggtut",
GLAD,"CopyNumberVariation,Microarray,Software",,,GPL-2,http://bioinfo.curie.fr,,,&nbsp;,"aws, tcltk",R (>= 2.10),2.30.0,BioC 1.6 (R-2.1) or earlier,"ADaCGH2,ITALICS,MANOR,snapCGH","ITALICS,MANOR,seqCNA",gsl. Note: users should have GSL installed. Windows users: 'consult the README file available in the inst directory of the source distribution for necessary configuration instructions'.
GOFunction,"GO,GeneSetEnrichment,Microarray,Pathways,Software",,,GPL (>= 2),,"methods,Biobase,graph,Rgraphviz,GO.db,AnnotationDbi,SparseM",,&nbsp;,,"R (>= 2.11.0), methods,Biobase(>= 2.8.0),graph(>= 1.26.0),Rgraphviz(>= 1.26.0),GO.db(>= 2.4.1),AnnotationDbi(>= 1.10.2),SparseM(>= 0.85)",1.14.0,BioC 2.9 (R-2.14),,,
GOSemSim,"Clustering,GO,Network,Pathways,Software",,Rcpp,Artistic-2.0,https://github.com/GuangchuangYu/GOSemSim,"Rcpp,AnnotationDbi,GO.db","ChIPseeker,ReactomePA,SemDist",&nbsp;,"DOSE,clusterProfiler,org.Hs.eg.db,ChIPseeker,ReactomePA,BiocInstaller,knitr",R (>= 3.0.0),1.24.1,BioC 2.4 (R-2.9),"clusterProfiler,DOSE,Rcpi",tRanslatome,
GOSim,"Clustering,DecisionTree,GO,Network,Software",,Rcpp,GPL (>= 2),,"org.Hs.eg.db,AnnotationDbi,topGO,cluster,flexmix,RBGL,graph,Matrix,corpcor,Rcpp, utils",,&nbsp;,,"GO.db,annotate,igraph",1.8.0,BioC 2.13 (R-3.0),,,
GOTHiC,"Epigenetics,Preprocessing,Sequencing,Software",parallel,,GPL-3,,"BiocGenerics,S4Vectors,IRanges,ShortRead,rtracklayer,ggplot2",HiCDataLymphoblast,&nbsp;,HiCDataLymphoblast,"R (>= 2.15.1), methods, utils,GenomicRanges,Biostrings,BSgenome,data.table",1.2.2,BioC 2.14 (R-3.1),,,
GOexpress,"Annotation,Clustering,DataRepresentation,DifferentialExpression,GO,GeneExpression,GeneSetEnrichment,Metagenomics,Microarray,MultipleComparison,Pathways,RNASeq,Sequencing,Software,TimeCourse,Transcription,Visualization",,,GPL (>= 3),https://github.com/kevinrue/GOexpress-release,"biomaRt(>= 2.18.0),stringr(>= 0.6.2),ggplot2(>= 0.9.0),RColorBrewer(>= 1.0),gplots(>= 2.13.0),VennDiagram(>= 1.6.5),randomForest(>= 4.6)",,&nbsp;,,"R (>= 3.0.2), grid,Biobase(>= 2.22.0)",1.0.1,BioC 3.0 (R-3.1),,,
GOstats,"Annotation,GO,GeneExpression,GeneSetEnrichment,GraphAndNetwork,Microarray,MultipleComparison,Pathways,Software",,,Artistic-2.0,,"methods, stats, stats4,AnnotationDbi(>= 0.0.89),Biobase(>= 1.15.29),Category(>= 2.3.26),GO.db(>= 1.13.0),RBGL,annotate(>= 1.13.2),graph(>= 1.15.15),AnnotationForge","BiocCaseStudies,Category,eisa,fastLiquidAssociation,GSEAlm,HTSanalyzeR,interactiveDisplay,MineICA,MLP,MmPalateMiRNA,neaGUI,oneChannelGUI,phenoDist,qpgraph,safe",&nbsp;,"hgu95av2.db(>= 1.13.0),ALL,GO.db(>= 1.13.0),annotate,multtest,genefilter,RColorBrewer,Rgraphviz,xtable,SparseM,GSEABase,geneplotter,org.Hs.eg.db,RUnit,BiocGenerics","R (>= 2.10),Biobase(>= 1.15.29),Category(>= 2.3.26),graph",2.32.0,BioC 1.6 (R-2.1) or earlier,"affycoretools,attract,categoryCompare,facopy,mvGST,ProCoNA,ReportingTools,systemPipeR","attract,MineICA,RDAVIDWebService",
GOsummaries,"Clustering,GO,GeneExpression,Software,Visualization",,Rcpp,GPL (>= 2),https://github.com/raivokolde/GOsummaries,"plyr, grid,gProfileR,reshape2,limma,gtable",,&nbsp;,vegan,"R (>= 2.15),ggplot2,Rcpp",2.0.0,BioC 3.0 (R-3.1),,,
GRENITS,"Bayesian,GeneExpression,GeneRegulation,GraphAndNetwork,Network,NetworkInference,Software,TimeCourse",,"Rcpp,RcppArmadillo",GPL (>= 2),,"graphics, grDevices,reshape2, stats, utils",,&nbsp;,network,"R (>= 2.12.0),Rcpp(>= 0.8.6),RcppArmadillo(>= 0.2.8),ggplot2(>= 0.9.0)",1.18.0,BioC 2.9 (R-2.14),,,
GSAR,"DifferentialExpression,Software,StatisticalMethod",,,GPL (>=2),,,,&nbsp;,"MASS,GSVAdata,ALL,tweeDEseqCountData,GSEABase,annotate,org.Hs.eg.db,Biobase,genefilter,hgu95av2.db,edgeR,BiocStyle","R (>= 3.0.1),igraph(>= 0.7.0)",1.0.0,BioC 3.0 (R-3.1),,,
GSCA,"GUI,GeneExpression,Software,Visualization",,,GPL(>=2),,graphics,,&nbsp;,"Affyhgu133aExpr,Affymoe4302Expr,Affyhgu133A2Expr,Affyhgu133Plus2Expr","shiny,sp,gplots,ggplot2,reshape2,RColorBrewer,rhdf5,rgl,shinyRGL",1.4.0,BioC 2.14 (R-3.1),,,
GSEABase,"GeneExpression,GeneSetEnrichment,GraphAndNetwork,Software",,,Artistic-2.0,,"AnnotationDbi,XML","BiocCaseStudies,gage,GlobalAncova,globaltest,GOstats,GSAR,GSEAlm,PGSEA,phenoTest",&nbsp;,"hgu95av2.db,GO.db,org.Hs.eg.db,Rgraphviz,ReportingTools","R (>= 2.6.0),BiocGenerics(>= 0.3.2),Biobase(>= 2.17.8),annotate, methods,graph(>= 1.37.2)",1.28.0,BioC 2.1 (R-2.6),"Category,categoryCompare,cellHTS2,gCMAPWeb,GSRI,GSVA,HTSanalyzeR,PCpheno,phenoTest,PROMISE,ReportingTools","AGDEX,BicARE,gCMAP,GSVAdata,npGSEA,PROMISE",
GSEAlm,"Microarray,Software",,,Artistic-2.0,,,,&nbsp;,"GSEABase,Category,multtest,ALL,annotate,hgu95av2.db,genefilter,GOstats,RColorBrewer",Biobase,1.26.0,BioC 2.2 (R-2.7),gCMAP,,
GSRI,"DifferentialExpression,GeneRegulation,GeneSetEnrichment,Microarray,Software,Transcription",parallel,,GPL-3,http://julian-gehring.github.com/GSRI/,"methods, graphics, stats, utils,genefilter,Biobase,GSEABase,les(>= 1.1.6)",,&nbsp;,"limma,hgu95av2.db","R (>= 2.14.2),fdrtool",2.14.0,BioC 2.6 (R-2.11),,,
GSReg,"GeneExpression,GeneRegulation,GeneSetEnrichment,GeneticVariability,Pathways,Software",,,GPL-2,,,,&nbsp;,GSBenchMark,R (>= 2.13.1),1.0.0,BioC 3.0 (R-3.1),,,
GSVA,"GeneSetEnrichment,Microarray,Pathways,Software",,,GPL (>= 2),http://www.sagebase.org,"methods,BiocGenerics,Biobase,GSEABase(>= 1.17.4)",,&nbsp;,"limma,RColorBrewer,genefilter,mclust,edgeR,snow, parallel,GSVAdata",R (>= 2.13.0),1.14.1,BioC 2.8 (R-2.13),,,
