,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Suggests,Depends,Version,SystemRequirements,Imports Me,Depends On Me
IlluminaHumanMethylation450k.db,"AnnotationData,DNAMethylation,Homo_sapiens,IlluminaChip",,,Artistic-2.0,,"methods,AnnotationDbi","asmn,methylumi","annotate,methylumi","R (>= 2.7.0), methods,AnnotationDbi(>= 1.12.0),org.Hs.eg.db(>= 2.4.6)",2.0.8,,,
IlluminaHumanMethylation450kanno.ilmn12.hg19,AnnotationData,,,Artistic-2.0,,,"DMRcate,methylumi,minfi",,"R (>= 2.10.0),minfi",0.2.1,,,"CopyNumber450kData,minfiData,wateRmelon"
IlluminaHumanMethylation450kmanifest,"AnnotationData,DNAMethylation,Homo_sapiens,IlluminaChip",,,Artistic-2.0,,,minfi,,"R (>= 2.13.0),minfi",0.4.0,,"ChAMP,MethylAid,missMethyl","CopyNumber450kData,minfiData,shinyMethyl"
IlluminaHumanMethylation450kprobe,"AnnotationData,Homo_sapiens,Illumina",,,LGPL,,,,,"R (>= 2.10),AnnotationDbi(>= 1.13.18)",2.0.6,,,
JazaeriMetaData.db,"AnnotationData,ChipDb,Homo_sapiens,JazaeriMetaData,National Cancer InstituteChip",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
KEGG.db,"AnnotationData,FunctionalAnnotation",,,file LICENSE,,"methods,AnnotationDbi","AnnotationDbi,BiocCaseStudies,CancerMutationAnalysis,Category,categoryCompare,eisa,FGNet,gCMAP,GeneAnswers,GenomicRanges,GlobalAncova,globaltest,HTSanalyzeR,KEGGgraph,MLP,neaGUI,pcot2,PCpheno,phenoTest,Rsamtools,RTopper,SAGx",,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,"adSplit,attract,clusterProfiler,ExpressionView,KEGGprofile,PADOG,PCpheno","annaffy,attract,domainsignatures,ExpressionView,Mulder2012,PADOG,PGSEA"
LAPOINTE.db,"AnnotationData,CUSTOMChip,ChipDb,Homo_sapiens,LAPOINTE",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
MafDb.ALL.wgs.phase1.release.v3.20101123,"AnnotationData,Genetics,Homo_sapiens,MafDb",,,Artistic-2.0,,"RSQLite(>= 1.0.0),Biobase,AnnotationDbi,IRanges,Biostrings,Rsamtools,GenomicRanges,VariantAnnotation",VariantFiltering,,"R (>= 3.0.0),VariantFiltering(>= 1.2.4)",3.0.0,,,
MafDb.ESP6500SI.V2.SSA137.dbSNP138,"AnnotationData,Genetics,Homo_sapiens,MafDb",,,Artistic-2.0,,"RSQLite(>= 1.0.0),Biobase,AnnotationDbi,IRanges,Biostrings,GenomicRanges,VariantAnnotation",VariantFiltering,,"R (>= 3.0.0),VariantFiltering(>= 1.2.4)",3.0.0,,,
MeSH.AOR.db,"AnnotationData,FunctionalAnnotation,MeSHDb",,,Artistic-2.0,,,"MeSH.AOR.db,MeSH.db,MeSH.PCR.db","RUnit,BiocGenerics,MeSH.AOR.db,MeSH.db","R (>= 3.0.1),MeSHDbi",1.2.0,,,meshr
MeSH.PCR.db,"AnnotationData,FunctionalAnnotation,MeSHDb",,,Artistic-2.0,,,MeSH.db,"RUnit,BiocGenerics,MeSH.AOR.db,MeSH.db","R (>= 3.0.1),MeSHDbi",1.2.0,,,meshr
MeSH.db,"AnnotationData,FunctionalAnnotation,MeSHDb",,,Artistic-2.0,,,"MeSH.AOR.db,MeSH.PCR.db","RUnit,BiocGenerics,MeSH.AOR.db,MeSH.PCR.db","R (>= 3.0.1),MeSHDbi",1.2.0,,,meshr
MmAgilentDesign026655.db,"AgilentChip,AnnotationData,ChipDb,MmAgilentDesign026655,Mus_musculus",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Mm.eg.db(>= 3.0.0)",3.0.0,,,
MoExExonProbesetLocation,"AffymetrixChip,AnnotationData,MoEx,Mus musculus,probe",,,LGPL,,,oneChannelGUI,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",1.15.0,,,
Mu15v1.db,"AnnotationData,ChipDb,FHCRC Genomics Shared ResourceChip,Mu15v1,Mus_musculus",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Mm.eg.db(>= 3.0.0)",3.0.0,,,
Mu22v3.db,"AnnotationData,ChipDb,FHCRC Genomics Shared ResourceChip,Mu22v3,Mus_musculus",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Mm.eg.db(>= 3.0.0)",3.0.0,,,
Mus.musculus,"AnnotationData,Genetics,Mus_musculus,OrganismDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",epivizr,,"R (>= 1.6),AnnotationDbi(>= 1.17.11), methods,OrganismDbi,GenomicFeatures,GO.db,org.Mm.eg.db,TxDb.Mmusculus.UCSC.mm10.knownGene",1.1.2,,,
Norway981.db,"AnnotationData,ChipDb,Homo_sapiens,Norway981,Stanford Microarray DatabaseChip",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
OperonHumanV3.db,"AnnotationData,ChipDb,FHCRC Nelson LabChip,Homo_sapiens,OperonHumanV3",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
PANTHER.db,"Annotation,AnnotationData,Infrastructure",,,Artistic-2.0,,,,"RUnit,knitr","AnnotationDbi, utils, methods,RSQLite",1.0.1,,,
PFAM.db,AnnotationData,,,Artistic-2.0,,"methods,AnnotationDbi","GenoView,safe",,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,ReportingTools,
POCRCannotation.db,"AnnotationData,CUSTOMChip,ChipDb,Homo_sapiens,POCRCannotation",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
PartheenMetaData.db,"AnnotationData,ChipDb,Homo_sapiens,Lund,PartheenMetaData,SwedenChip,Swegene DNA Microarray Resource Centre",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
PolyPhen.Hsapiens.dbSNP131,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,AnnotationDbi,"VariantAnnotation,VariantFiltering",,"VariantAnnotation,RSQLite(>= 0.11.0)",1.0.2,,,
RaExExonProbesetLocation,"AffymetrixChip,AnnotationData,RaEx,Rattus norvegicus,probe",,,LGPL,,,oneChannelGUI,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",1.15.0,,,
Rattus.norvegicus,"AnnotationData,Genetics,OrganismDb,Rattus_norvegicus",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",OrganismDbi,,"R (>= 1.6),AnnotationDbi(>= 1.17.11), methods,OrganismDbi,GenomicFeatures,GO.db,org.Rn.eg.db,TxDb.Rnorvegicus.UCSC.rn5.refGene",1.1.2,,,
RmiR.Hs.miRNA,"AnnotationData,CustomDBSchema,Homo_sapiens,miRNA",,,"The Artistic License, Version 2.0",,AnnotationDbi,oneChannelGUI,"methods,hgug4112a.db",R (>= 2.7.0),1.0.7,,,RmiR
RmiR.hsa,"AnnotationData,CustomDBSchema,Homo_sapiens,miRNA",,,"The Artistic License, Version 2.0",,AnnotationDbi,,"methods,hgug4112a.db",R (>= 2.7.0),1.0.5,,,
RnAgilentDesign028282.db,"AgilentChip,AnnotationData,ChipDb,Rattus_norvegicus,RnAgilentDesign028282",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Rn.eg.db(>= 3.0.0)",3.0.0,,,
Roberts2005Annotation.db,"AnnotationData,ChipDb,Homo_sapiens,Roberts2005Annotation,Roberts2005AnnotationChip",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
SHDZ.db,"AnnotationData,ChipDb,Homo_sapiens,SHDZ,Stanford Microarray DatabaseChip",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
SIFT.Hsapiens.dbSNP132,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,AnnotationDbi,VariantAnnotation,,"VariantAnnotation,RSQLite(>= 0.11.0)",1.0.2,,,
SIFT.Hsapiens.dbSNP137,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,AnnotationDbi,VariantFiltering,,"VariantAnnotation(>= 1.9.15),RSQLite(>= 0.11.0)",1.0.0,,,
SNPlocs.Hsapiens.dbSNP.20090506,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,"methods, utils,IRanges,GenomicRanges,BSgenome",ind1KG,"Biostrings,BSgenome.Hsapiens.UCSC.hg18(>= 1.3.19)","R (>= 2.10),IRanges,GenomicRanges,BSgenome(>= 1.25.6)",0.99.8,,,
SNPlocs.Hsapiens.dbSNP.20100427,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,"methods,IRanges,GenomicRanges",BSgenome,"Biostrings,BSgenome(>= 1.16.1),BSgenome.Hsapiens.UCSC.hg19","R (>= 2.10),IRanges,GenomicRanges",0.99.6,,,
SNPlocs.Hsapiens.dbSNP.20101109,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,"methods,IRanges,GenomicRanges","ceu1kg,VariantAnnotation","Biostrings,BSgenome(>= 1.16.1),BSgenome.Hsapiens.UCSC.hg19","R (>= 2.10),IRanges,GenomicRanges",0.99.6,,,
SNPlocs.Hsapiens.dbSNP.20110815,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,"methods,IRanges,GenomicRanges",VariantAnnotation,"Biostrings,BSgenome(>= 1.16.1),BSgenome.Hsapiens.UCSC.hg19","R (>= 2.10),IRanges,GenomicRanges",0.99.6,,,
SNPlocs.Hsapiens.dbSNP.20111119,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,"methods,IRanges,GenomicRanges",FDb.UCSC.snp135common.hg19,"Biostrings,BSgenome(>= 1.16.1),BSgenome.Hsapiens.UCSC.hg19","R (>= 2.10),IRanges,GenomicRanges",0.99.6,,,
SNPlocs.Hsapiens.dbSNP.20120608,"AnnotationData,Genetics,Homo_sapiens",,,Artistic-2.0,,"methods, utils,IRanges,GenomicRanges,BSgenome","AllelicImbalance,cheung2010,GGtools,VariantFiltering","Biostrings,BSgenome.Hsapiens.UCSC.hg19(>= 1.3.19)","R (>= 2.10),IRanges,GenomicRanges,BSgenome(>= 1.25.6)",0.99.9,,,ggtut
SNPlocs.Hsapiens.dbSNP141.GRCh38,"AnnotationData,Genetics,Homo_sapiens,SNPlocs",,,Artistic-2.0,,"methods, utils,S4Vectors,IRanges,GenomicRanges,BSgenome",,"Biostrings,BSgenome.Hsapiens.NCBI.GRCh38(>= 1.3.19)","R (>= 2.10),S4Vectors,IRanges,GenomicRanges,BSgenome(>= 1.33.9)",0.99.10,,,
TxDb.Athaliana.BioMart.plantsmart22,"AnnotationData,Arabidopsis_thaliana,Genetics,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","GenomicRanges,waveTiling",,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Celegans.UCSC.ce6.ensGene,"AnnotationData,Caenorhabditis_elegans,Genetics,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","BSgenome.Celegans.UCSC.ce6,ChIPQC",,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,"AnnotationData,Drosophila_melanogaster,Genetics,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","BSgenome.Dmelanogaster.UCSC.dm3,ChIPQC,FourCSeq,GenomeInfoDb,GenomicAlignments,GenomicFeatures,GenomicRanges,Rsamtools",,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Hsapiens.BioMart.igis,"AnnotationData,Genetics,Homo_sapiens,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.22),2.3.1,,,
TxDb.Hsapiens.UCSC.hg18.knownGene,"AnnotationData,Genetics,Homo_sapiens,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","BSgenome.Hsapiens.UCSC.hg18,ChIPQC,ggtut,ind1KG,methylPipe,Rsamtools",,GenomicFeatures(>= 1.17.17),3.0.0,,,FDb.InfiniumMethylation.hg18
TxDb.Hsapiens.UCSC.hg19.knownGene,"AnnotationData,Genetics,Homo_sapiens,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","AllelicImbalance,AnnotationDbi,beadarray,biomvRCNS,biovizBase,BSgenome.Hsapiens.UCSC.hg19,bumphunter,ChIPQC,CRISPRseek,derfinder,derfinderPlot,gage,GenomicAlignments,GenomicFeatures,GenomicRanges,GenoView,ggbio,gmapR,groHMM,HTSeqGenie,methyAnalysis,methylumi,Pbase,regionReport,rtracklayer,SGSeq,SigFuge,SplicingGraphs,trackViewer,VariantAnnotation,VariantFiltering",,GenomicFeatures(>= 1.17.17),3.0.0,,ChIPseeker,"cgdv17,chimera,FDb.InfiniumMethylation.hg19,FunciSNP,Homo.sapiens"
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,"AnnotationData,Genetics,Homo_sapiens,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Hsapiens.UCSC.hg38.knownGene,"AnnotationData,Genetics,Homo_sapiens,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Mmusculus.UCSC.mm10.ensGene,"AnnotationData,Genetics,Mus_musculus,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Mmusculus.UCSC.mm10.knownGene,"AnnotationData,Genetics,Mus_musculus,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","BSgenome.Mmusculus.UCSC.mm10,ChIPQC,csaw",,GenomicFeatures(>= 1.17.17),3.0.0,,,Mus.musculus
TxDb.Mmusculus.UCSC.mm9.knownGene,"AnnotationData,Genetics,Mus_musculus,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","BSgenome.Mmusculus.UCSC.mm9,ChIPQC,chipseq,compEpiTools,ggbio",,GenomicFeatures(>= 1.17.17),3.0.0,,CompGO,
TxDb.Rnorvegicus.BioMart.igis,"AnnotationData,Genetics,Rattus_norvegicus,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.22),2.3.1,,,
TxDb.Rnorvegicus.UCSC.rn4.ensGene,"AnnotationData,Genetics,Rattus_norvegicus,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","BSgenome.Rnorvegicus.UCSC.rn4,ChIPQC",,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Rnorvegicus.UCSC.rn5.refGene,"AnnotationData,Genetics,Rattus_norvegicus,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",BSgenome.Rnorvegicus.UCSC.rn5,,GenomicFeatures(>= 1.17.17),3.0.0,,,Rattus.norvegicus
TxDb.Scerevisiae.UCSC.sacCer2.sgdGene,"AnnotationData,Genetics,Saccharomyces_cerevisiae,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.17),3.0.0,,,
TxDb.Scerevisiae.UCSC.sacCer3.sgdGene,"AnnotationData,Genetics,Saccharomyces_cerevisiae,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,,GenomicFeatures(>= 1.17.17),3.0.0,,,
adme16cod.db,"AnnotationData,ChipDb,CodelinkChip,Rattus_norvegicus,adme16cod",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.16),org.Rn.eg.db(>= 3.0.0)",3.0.0,,,
ag.db,"AffymetrixChip,AnnotationData,Arabidopsis_thaliana,ChipDb,ag",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.At.tair.db(>= 3.0.0)",3.0.0,,,
agcdf,"AffymetrixChip,AnnotationData,Arabidopsis_thaliana,ag,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
agprobe,"AffymetrixChip,AnnotationData,Arabidopsis_thaliana,ag,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
anopheles.db0,"AnnotationData,Anopheles_gambiae,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.7.0)",3.0.0,,,
arabidopsis.db0,"AnnotationData,Arabidopsis_thaliana,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.15)",3.0.0,,,
ath1121501.db,"AffymetrixChip,AnnotationData,Arabidopsis_thaliana,ChipDb,ath1121501",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.At.tair.db(>= 3.0.0)",3.0.0,,,
ath1121501cdf,"AffymetrixChip,AnnotationData,Arabidopsis_thaliana,ath1121501,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,XhybCasneuf
ath1121501probe,"AffymetrixChip,AnnotationData,Arabidopsis_thaliana,ath1121501,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
barley1cdf,"AffymetrixChip,AnnotationData,Hordeum_vulgare,barley1,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
barley1probe,"AffymetrixChip,AnnotationData,Hordeum_vulgare,barley1,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
bovine.db,"AffymetrixChip,AnnotationData,Bos_taurus,ChipDb,bovine",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Bt.eg.db(>= 3.0.0)",3.0.0,,,
bovine.db0,"AnnotationData,Bos_taurus,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)",3.0.0,,,
bovinecdf,"AffymetrixChip,AnnotationData,Bos_taurus,bovine,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
bovineprobe,"AffymetrixChip,AnnotationData,Bos_taurus,bovine,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
bsubtiliscdf,"AffymetrixChip,AnnotationData,Bacillus_subtilis,bsubtilis,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
bsubtilisprobe,"AffymetrixChip,AnnotationData,Bacillus_subtilis,bsubtilis,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
cMAP,AnnotationData,,,LGPL,,,,,R (>= 2.4.0),1.15.1,,,pathRender
canine.db,"AffymetrixChip,AnnotationData,Canis_familiaris,ChipDb,canine",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Cf.eg.db(>= 3.0.0)",3.0.0,,,
canine.db0,"AnnotationData,Canis_familiaris,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)",3.0.0,,,
canine2.db,"AffymetrixChip,AnnotationData,Canis_familiaris,ChipDb,canine2",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Cf.eg.db(>= 3.0.0)",3.0.0,,,
canine2cdf,"AffymetrixChip,AnnotationData,Canis_familiaris,canine2,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
canine2probe,"AffymetrixChip,AnnotationData,Canis_familiaris,canine2,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
caninecdf,"AffymetrixChip,AnnotationData,Canis_familiaris,canine,cdf",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
canineprobe,"AffymetrixChip,AnnotationData,Canis_familiaris,canine,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
celegans.db,"AffymetrixChip,AnnotationData,Caenorhabditis_elegans,ChipDb,celegans",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Ce.eg.db(>= 3.0.0)",3.0.0,,,
celeganscdf,"AffymetrixChip,AnnotationData,Caenorhabditis_elegans,cdf,celegans",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
celegansprobe,"AffymetrixChip,AnnotationData,Caenorhabditis_elegans,celegans,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
chicken.db,"AffymetrixChip,AnnotationData,ChipDb,Gallus_gallus,chicken",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Gg.eg.db(>= 3.0.0)",3.0.0,,,
chicken.db0,"AnnotationData,Gallus_gallus,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)",3.0.0,,,
chickencdf,"AffymetrixChip,AnnotationData,Gallus_gallus,cdf,chicken",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
chickenprobe,"AffymetrixChip,AnnotationData,Gallus_gallus,chicken,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
chimp.db0,"AnnotationData,Pan_troglodytes,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.7.0)",3.0.0,,,
citruscdf,"AffymetrixChip,AnnotationData,Citrus_sp,cdf,citrus",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
citrusprobe,"AffymetrixChip,AnnotationData,Citrus_sp,citrus,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
cottoncdf,"AffymetrixChip,AnnotationData,Gossypium_arboretum,Gossypium_barbadense,Gossypium_hirsutum,Gossypium_raimondii,cdf,cotton",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
cottonprobe,"AffymetrixChip,AnnotationData,Gossypium_arboretum,Gossypium_barbadense,Gossypium_hirsutum,Gossypium_raimondii,cotton,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
cyp450cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,cyp450",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
drosgenome1.db,"AffymetrixChip,AnnotationData,ChipDb,Drosophila_melanogaster,drosgenome1",,,Artistic-2.0,,"methods,AnnotationDbi",tigre,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Dm.eg.db(>= 3.0.0)",3.0.0,,,
drosgenome1cdf,"AffymetrixChip,AnnotationData,Drosophila_melanogaster,cdf,drosgenome1",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
drosgenome1probe,"AffymetrixChip,AnnotationData,Drosophila_melanogaster,drosgenome1,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
drosophila2.db,"AffymetrixChip,AnnotationData,ChipDb,Drosophila_melanogaster,drosophila2",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Dm.eg.db(>= 3.0.0)",3.0.0,,,
drosophila2cdf,"AffymetrixChip,AnnotationData,Drosophila_melanogaster,cdf,drosophila2",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
drosophila2probe,"AffymetrixChip,AnnotationData,Drosophila_melanogaster,drosophila2,probe",,,LGPL,,,"Biostrings,XVector",,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
ecoli2.db,"AffymetrixChip,AnnotationData,ChipDb,Escherichia_coli,ecoli2",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.EcK12.eg.db(>= 3.0.0)",3.0.0,,,
ecoli2cdf,"AffymetrixChip,AnnotationData,Escherichia_coli,cdf,ecoli2",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
ecoli2probe,"AffymetrixChip,AnnotationData,Escherichia_coli,ecoli2,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
ecoliK12.db0,"AnnotationData,Escherichia_coli,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)",3.0.0,,,
ecoliSakai.db0,"AnnotationData,Escherichia_coli,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.28)",3.0.0,,,
ecoliasv2cdf,"AffymetrixChip,AnnotationData,Escherichia_coli,cdf,ecoliasv2",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
ecoliasv2probe,"AffymetrixChip,AnnotationData,Escherichia_coli,ecoliasv2,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
ecolicdf,"AffymetrixChip,AnnotationData,Escherichia_coli,cdf,ecoli",,,LGPL,,AnnotationDbi,ecolitk,,utils,2.15.0,,,ecoliLeucine
ecoliprobe,"AffymetrixChip,AnnotationData,Escherichia_coli,ecoli,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
fly.db0,"AnnotationData,Drosophila_melanogaster,db0",,,"The Artistic License, Version 2.0",,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.1.15)",3.0.0,,,
gahgu133a.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
